Euro;Local;Global;Team;Rating
1960;1;2;Soviet Union;2009
1960;2;8;Czechoslovakia;1918
1960;3;9;Yugoslavia;1898
1960;4;11;France;1873
1964;1;1;Soviet Union;2011
1964;2;3;Hungary;1965
1964;3;4;Spain;1938
1964;4;36;Denmark;1652
1968;1;1;England;2071
1968;2;4;Italy;1969
1968;3;5;Soviet Union;1966
1968;4;11;Yugoslavia;1867
1972;1;1;West Germany;2143
1972;2;4;Soviet Union;1973
1972;3;6;Hungary;1891
1972;4;12;Belgium;1858
1976;1;1;West Germany;2122
1976;2;3;Netherlands;2046
1976;3;4;Czechoslovakia;1993
1976;4;12;Yugoslavia;1891
1980;1;1;West Germany;2109
1980;2;3;England;2022
1980;3;4;Netherlands;2009
1980;4;6;Italy;1976
1980;5;7;Czechoslovakia;1940
1980;6;8;Belgium;1939
1980;7;15;Spain;1853
1980;8;34;Greece;1674
1984;1;2;France;2034
1984;2;3;West Germany;1982
1984;3;10;Denmark;1886
1984;4;11;Spain;1881
1984;5;12;Belgium;1876
1984;6;16;Portugal;1852
1984;7;23;Romania;1791
1984;8;24;Yugoslavia;1788
1988;1;1;Netherlands;2050
1988;2;2;Soviet Union;2012
1988;3;4;West Germany;1964
1988;4;5;Italy;1960
1988;5;7;England;1889
1988;6;8;Spain;1885
1988;7;12;Ireland;1859
1988;8;18;Denmark;1821
1992;1;1;Netherlands;2015
1992;2;3;Germany;1993
1992;3;5;England;1967
1992;4;7;Denmark;1954
1992;5;8;France;1941
1992;6;12;Commonwealth of Indep States;1872
1992;7;13;Sweden;1860
1992;8;20;Scotland;1817
1996;1;1;Germany;2102
1996;2;3;France;2018
1996;3;4;Spain;2000
1996;4;5;Italy;1984
1996;5;6;Denmark;1936
1996;6;7;Czechia;1932
1996;6;7;England;1932
1996;8;10;Portugal;1912
1996;9;11;Netherlands;1907
1996;10;12;Croatia;1898
1996;11;13;Russia;1888
1996;12;17;Bulgaria;1849
1996;13;18;Romania;1831
1996;14;23;Scotland;1786
1996;15;26;Switzerland;1760
1996;16;33;Turkey;1706
2000;1;1;France;2131
2000;2;3;Netherlands;2036
2000;3;4;Italy;2011
2000;4;5;Spain;1994
2000;5;6;Portugal;1985
2000;6;8;Czechia;1937
2000;7;9;Yugoslavia;1905
2000;8;11;Norway;1903
2000;9;12;England;1883
2000;10;13;Sweden;1856
2000;11;14;Romania;1844
2000;12;17;Germany;1829
2000;13;23;Denmark;1767
2000;14;24;Turkey;1763
2000;15;26;Belgium;1753
2000;16;48;Slovenia;1660
2004;1;1;France;2026
2004;2;3;Czechia;1996
2004;3;4;Spain;1986
2004;4;5;England;1972
2004;5;7;Italy;1946
2004;6;8;Greece;1927
2004;7;9;Netherlands;1917
2004;8;10;Portugal;1890
2004;9;12;Denmark;1864
2004;10;13;Sweden;1860
2004;11;18;Germany;1841
2004;12;19;Croatia;1817
2004;13;27;Russia;1781
2004;14;39;Switzerland;1687
2004;15;40;Bulgaria;1684
2004;16;72;Latvia;1530
2008;1;1;Spain;2078
2008;2;2;Netherlands;2028
2008;3;4;Italy;2014
2008;4;6;Germany;1973
2008;5;7;Croatia;1925
2008;6;8;France;1924
2008;7;10;Romania;1900
2008;8;12;Russia;1873
2008;9;13;Czechia;1870
2008;10;14;Portugal;1867
2008;11;16;Turkey;1832
2008;12;22;Switzerland;1788
2008;13;26;Sweden;1774
2008;14;30;Greece;1757
2008;15;34;Poland;1746
2008;16;61;Austria;1583
2012;1;1;Spain;2155
2012;2;2;Germany;2061
2012;3;4;England;1978
2012;4;6;Netherlands;1966
2012;5;8;Portugal;1942
2012;6;10;Italy;1918
2012;7;12;Croatia;1889
2012;7;12;Sweden;1889
2012;9;14;France;1854
2012;10;15;Russia;1847
2012;11;16;Denmark;1822
2012;12;22;Czechia;1789
2012;13;24;Greece;1779
2012;14;30;Ireland;1737
2012;15;32;Ukraine;1728
2012;16;37;Poland;1696
2016;1;3;Germany;2016
2016;2;4;France;1983
2016;3;6;Portugal;1960
2016;4;8;Italy;1950
2016;5;9;Spain;1940
2016;6;11;England;1914
2016;7;14;Belgium;1890
2016;8;16;Croatia;1849
2016;9;18;Poland;1824
2016;10;19;Turkey;1816
2016;11;20;Switzerland;1803
2016;12;23;Wales;1779
2016;13;26;Slovakia;1759
2016;13;26;Ireland;1759
2016;15;31;Iceland;1742
2016;16;32;Ukraine;1739
2016;17;33;Sweden;1735
2016;18;36;Hungary;1724
2016;19;38;Czechia;1718
2016;19;38;Romania;1718
2016;21;40;Austria;1714
2016;22;43;Russia;1694
2016;23;51;Northern Ireland;1642
2016;24;53;Albania;1633
2020;1;1;Belgium;2126
2020;2;3;Italy;2093
2020;3;4;France;2073
2020;4;6;England;2036
2020;5;7;Spain;2024
2020;6;8;Portugal;2007
2020;7;9;Denmark;1965
2020;8;12;Netherlands;1921
2020;9;13;Germany;1916
2020;10;14;Switzerland;1915
2020;11;16;Sweden;1865
2020;12;17;Czechia;1837
2020;13;18;Croatia;1825
2020;14;19;Wales;1822
2020;15;24;Ukraine;1795
2020;16;28;Austria;1778
2020;17;32;Poland;1762
2020;18;33;Hungary;1755
2020;19;37;Turkey;1731
2020;20;38;Russia;1730
2020;21;39;Finland;1705
2020;22;43;Slovakia;1670
2020;23;49;Scotland;1629
2020;24;67;North Macedonia;1564


























