Euro;Local;Global;Team;Rating
1960;1;4;France;1964
1960;2;5;Soviet Union;1952
1960;3;9;Czechoslovakia;1901
1960;4;11;Yugoslavia;1881
1964;1;1;Soviet Union;2028
1964;2;3;Hungary;1977
1964;3;12;Spain;1887
1964;4;33;Denmark;1674
1968;1;1;England;2078
1968;2;3;Soviet Union;1994
1968;3;5;Italy;1964
1968;4;15;Yugoslavia;1837
1972;1;2;West Germany;2098
1972;2;4;Soviet Union;1981
1972;3;6;Hungary;1936
1972;4;11;Belgium;1850
1976;1;1;West Germany;2100
1976;2;3;Netherlands;2073
1976;3;5;Yugoslavia;1948
1976;4;9;Czechoslovakia;1931
1980;1;1;West Germany;2080
1980;2;3;England;2035
1980;3;4;Netherlands;2030
1980;4;6;Italy;1990
1980;5;8;Czechoslovakia;1922
1980;6;12;Belgium;1914
1980;7;15;Spain;1878
1980;8;36;Greece;1673
1984;1;2;West Germany;2017
1984;2;4;France;1960
1984;3;8;Belgium;1898
1984;4;10;Yugoslavia;1890
1984;5;12;Spain;1868
1984;6;18;Portugal;1824
1984;6;18;Romania;1824
1984;8;22;Denmark;1809
1988;1;1;England;1998
1988;2;2;Soviet Union;1976
1988;3;4;West Germany;1967
1988;4;6;Italy;1937
1988;5;7;Netherlands;1935
1988;6;8;Spain;1905
1988;7;9;Denmark;1889
1988;8;17;Ireland;1833
1992;1;1;Germany;2068
1992;2;2;England;2006
1992;3;5;France;1975
1992;4;6;Netherlands;1967
1992;5;9;Commonwealth of Indep States;1924
1992;6;12;Denmark;1872
1992;7;16;Sweden;1830
1992;8;24;Scotland;1777
1996;1;2;Germany;2035
1996;2;3;France;1993
1996;3;4;Spain;1990
1996;4;5;Italy;1989
1996;5;6;Denmark;1970
1996;6;7;Russia;1933
1996;7;9;Netherlands;1916
1996;8;10;Czech Republic;1907
1996;9;11;Croatia;1902
1996;10;12;Romania;1892
1996;11;13;England;1887
1996;12;15;Portugal;1861
1996;13;18;Bulgaria;1836
1996;14;22;Switzerland;1803
1996;15;26;Scotland;1767
1996;16;27;Turkey;1760
2000;1;2;France;2064
2000;2;3;Spain;2019
2000;3;4;Netherlands;1963
2000;4;6;Czech Republic;1944
2000;4;6;Yugoslavia;1944
2000;6;8;Italy;1929
2000;7;9;Norway;1914
2000;8;10;England;1913
2000;9;11;Sweden;1909
2000;10;12;Portugal;1908
2000;11;14;Germany;1889
2000;12;16;Romania;1856
2000;13;17;Denmark;1825
2000;14;18;Belgium;1823
2000;15;35;Turkey;1726
2000;16;55;Slovenia;1631
2004;1;1;France;2057
2004;2;2;Spain;2017
2004;3;5;Netherlands;1967
2004;4;6;Czech Republic;1958
2004;5;7;Italy;1948
2004;6;8;England;1939
2004;7;9;Portugal;1899
2004;8;10;Denmark;1871
2004;9;11;Germany;1869
2004;10;17;Croatia;1838
2004;11;20;Sweden;1800
2004;12;21;Greece;1796
2004;13;26;Russia;1777
2004;14;28;Bulgaria;1759
2004;15;35;Switzerland;1706
2004;16;74;Latvia;1523
2008;1;3;Italy;2033
2008;2;4;France;2007
2008;3;5;Spain;1986
2008;4;6;Netherlands;1973
2008;5;7;Germany;1961
2008;6;8;Czech Republic;1921
2008;7;10;Romania;1912
2008;8;12;Croatia;1871
2008;9;13;Portugal;1860
2008;10;14;Greece;1835
2008;11;18;Turkey;1812
2008;12;22;Russia;1799
2008;13;23;Switzerland;1794
2008;14;26;Poland;1786
2008;15;27;Sweden;1782
2008;16;58;Austria;1600
2012;1;1;Spain;2127
2012;2;2;Netherlands;2061
2012;3;4;Germany;2043
2012;4;6;England;1955
2012;5;9;Sweden;1890
2012;6;11;Croatia;1873
2012;7;12;France;1867
2012;8;13;Portugal;1865
2012;9;14;Italy;1851
2012;10;15;Russia;1850
2012;11;16;Denmark;1817
2012;12;21;Ireland;1805
2012;13;22;Czech Republic;1788
2012;14;24;Greece;1780
2012;15;30;Ukraine;1756
2012;16;35;Poland;1722
2016;1;2;Germany;2035
2016;2;5;Spain;1993
2016;3;7;France;1975
2016;4;8;England;1972
2016;5;10;Belgium;1922
2016;6;12;Portugal;1910
2016;7;15;Italy;1875
2016;8;16;Ukraine;1837
2016;9;17;Turkey;1829
2016;10;18;Croatia;1818
2016;11;21;Austria;1778
2016;12;22;Switzerland;1771
2016;13;24;Poland;1766
2016;13;24;Slovakia;1766
2016;15;26;Sweden;1764
2016;16;28;Russia;1760
2016;17;29;Romania;1759
2016;18;30;Ireland;1758
2016;19;31;Czech Republic;1755
2016;20;41;Hungary;1697
2016;21;45;Iceland;1666
2016;22;47;Wales;1655
2016;23;53;Northern Ireland;1624
2016;24;55;Albania;1616
2020;1;2;Belgium;2100
2020;2;3;France;2087
2020;3;4;Portugal;2040
2020;4;5;Spain;2033
2020;5;6;Italy;2014
2020;6;7;England;1982
2020;7;9;Denmark;1973
2020;8;10;Netherlands;1949
2020;9;11;Germany;1936
2020;10;14;Switzerland;1890
2020;11;16;Sweden;1850
2020;12;17;Wales;1833
2020;13;18;Croatia;1825
2020;14;20;Ukraine;1814
2020;15;21;Turkey;1801
2020;16;23;Poland;1796
2020;17;29;Czech Republic;1768
2020;18;33;Austria;1747
2020;19;35;Russia;1744
2020;20;36;Hungary;1741
2020;21;40;Finland;1684
2020;22;42;Scotland;1678
