,Home_Rating,Away_Rating,Stage,HT_H,HT_A,H,A,Extra Time,Penatly
0,1881,1964,3,1,2,5,4,0,0
1,1952,1901,3,1,0,3,0,0,0
2,1901,1964,4,0,0,2,0,0,0
3,1952,1881,5,0,1,2,1,1,0
4,1887,1977,3,1,0,2,1,1,0
5,2028,1674,3,2,0,3,0,0,0
6,1977,1674,4,1,0,3,1,1,0
7,1887,2028,5,1,1,2,1,0,0
8,1964,1994,3,0,0,0,0,1,0
9,1837,2078,3,0,0,1,0,0,0
10,2078,1994,4,1,0,2,0,0,0
11,1964,1837,5,0,1,1,1,1,0
12,1964,1837,5,2,0,2,0,0,0
13,2098,1850,3,1,0,2,1,0,0
14,1981,1936,3,0,0,1,0,0,0
15,1850,1936,4,2,0,2,1,0,0
16,2098,1981,5,1,0,3,0,0,0
17,1931,2073,3,1,0,3,1,1,0
18,2100,1948,3,0,2,4,2,1,0
19,1948,2073,4,1,2,2,3,1,0
20,1931,2100,5,2,1,5,3,0,1
21,2080,1922,0,0,0,1,0,0,0
22,2030,1673,0,0,0,1,0,0,0
23,2080,2030,0,1,0,3,2,0,0
24,1922,1673,0,2,1,3,1,0,0
25,1922,2030,0,1,0,1,1,0,0
26,2080,1673,0,0,0,0,0,0,0
27,1914,2035,0,1,1,1,1,0,0
28,1990,1878,0,0,0,0,0,0,0
29,1914,1878,0,1,1,2,1,0,0
30,1990,2035,0,0,0,1,0,0,0
31,2035,1878,0,1,0,2,1,0,0
32,1914,1990,0,0,0,0,0,0,0
33,1922,1990,4,0,0,9,8,0,1
34,2080,1914,5,1,0,2,1,0,0
35,1960,1809,0,0,0,1,0,0,0
36,1898,1890,0,1,0,2,0,0,0
37,1960,1898,0,3,0,5,0,0,0
38,1809,1890,0,2,0,5,0,0,0
39,1960,1890,0,0,1,3,2,0,0
40,1809,1898,0,1,2,3,2,0,0
41,1824,2017,0,0,0,0,0,0,0
42,1824,1868,0,1,1,1,1,0,0
43,2017,1824,0,1,0,2,1,0,0
44,1824,1868,0,0,0,1,1,0,0
45,1824,1824,0,0,0,1,0,0,0
46,1868,2017,0,0,0,1,0,0,0
47,1960,1824,3,1,0,3,2,1,0
48,1868,1809,3,0,1,6,5,0,1
49,1960,1868,5,0,0,2,0,0,0
50,1937,1967,0,0,0,1,1,0,0
51,1905,1889,0,1,1,3,2,0,0
52,1967,1889,0,1,0,2,0,0,0
53,1937,1905,0,0,0,1,0,0,0
54,1967,1905,0,1,0,2,0,0,0
55,1937,1889,0,0,0,2,0,0,0
56,1833,1998,0,1,0,1,0,0,0
57,1976,1935,0,0,0,1,0,0,0
58,1935,1998,0,1,0,3,1,0,0
59,1833,1976,0,1,0,1,1,0,0
60,1976,1998,0,2,1,3,1,0,0
61,1935,1833,0,0,0,1,0,0,0
62,1935,1967,3,0,0,2,1,0,0
63,1976,1937,3,0,0,2,0,0,0
64,1935,1976,5,1,0,2,0,0,0
65,1830,1975,0,1,0,1,1,0,0
66,1872,2006,0,0,0,0,0,0,0
