1, Cristiano Ronaldo *,Portugal,25,14,3,0.56
2,Michel Platini,France,5,9,1,1.80
3,Antoine Griezmann *,France,11,7,1,0.64
,Alan Shearer,England,9,7,2,0.78
5, Álvaro Morata *,Spain,10,6,0,0.60
,Thierry Henry,France,11,6,0,0.55
,Zlatan Ibrahimović,Sweden,13,6,1,0.46
,Patrick Kluivert,Netherlands,9,6,0,0.67
,Romelu Lukaku *,Belgium,10,6,1,0.60
, Nuno Gomes,Portugal,14,6,0,0.43
,Wayne Rooney,England,10,6,1,0.60
,Ruud van Nistelrooy,Netherlands,8,6,1,0.75
13,Milan Baroš,Czech Republic,10,5,0,0.50
, Fernando Torres,Spain,13,5,0,0.38
,Mario Gómez,Germany,13,5,0,0.38
,Jürgen Klinsmann,Germany,13,5,1,0.38
,Robert Lewandowski *,Poland,11,5,0,0.45
,Savo Milošević,Yugoslavia,4,5,0,1.25
,Patrik Schick *,Czech Republic,5,5,1,1.00
,Marco van Basten,Netherlands,9,5,0,0.56
,Zinédine Zidane,France,14,5,2,0.36
22,Karim Benzema *,France,10,4,1,0.40
,Dennis Bergkamp,Netherlands,13,4,0,0.31
,Angelos Charisteas,Greece,9,4,0,0.44
, David Villa,Spain,4,4,0,1.00
,Dragan Džajić,Yugoslavia,5,4,0,0.80
,Emil Forsberg *,Sweden,7,4,1,0.57
,Harry Kane *,England,11,4,0,0.36
,Henrik Larsson,Sweden,10,4,1,0.40
,Dieter Müller,Germany,2,4,0,2.00
,Gerd Müller,Germany,2,4,0,2.00
,Roman Pavlyuchenko,Russia,8,4,0,0.50
,Ivan Perišić *,Croatia,10,4,0,0.40
,Lukas Podolski *,Germany,12,4,0,0.33
,Xherdan Shaqiri *,Switzerland,9,4,0,0.44
,Vladimír Šmicer,Czech Republic,11,4,0,0.36
,Rudi Völler,Germany,8,4,0,0.50
38, Alfonso,Spain,8,3,0,0.38
,Klaus Allofs,Germany,6,3,0,0.50
,Frank Arnesen,Denmark,4,3,2,0.75
,Gareth Bale,Wales,10,3,0,0.30
,Michael Ballack,Germany,11,3,0,0.27
,Mario Balotelli *,Italy,6,3,0,0.50
,Jakub Błaszczykowski,Poland,8,3,0,0.38
,Tomas Brolin,Sweden,4,3,1,0.75
,Antonio Cassano,Italy,13,3,0,0.23
, Cesc Fàbregas,Spain,16,3,0,0.19
, David Silva,Spain,15,3,0,0.20
,Youri Djorkaeff,France,10,3,0,0.30
,Kasper Dolberg *,Denmark,4,3,0,0.75
51,Alan Dzagoev,Russia,3,3,0,1.00
,Olivier Giroud *,France,11,3,0,0.27
, Hélder Postiga,Portugal,7,3,0,0.43
,Valentin Ivanov,USSR,4,3,0,0.75
,Miroslav Klose,Germany,13,3,0,0.23
,Jan Koller,Czech Republic,10,3,0,0.30
,Frank Lampard,England,4,3,0,0.75
,Henrik Larsen,Denmark,7,3,0,0.43
,Brian Laudrup,Denmark,8,3,0,0.38
,Mario Mandžukić,Croatia,6,3,0,0.50
,Luka Modrić *,Croatia,13,3,1,0.23
, Nani *,Portugal,15,3,0,0.20
,Zdeněk Nehoda,CSSR,6,3,0,0.50
,Dimitri Payet *,France,7,3,0,0.43
,Viktor Ponedelnik,USSR,4,3,0,0.75
,Karl-Heinz Riedle,Germany,5,3,0,0.60
,Bastian Schweinsteiger,Germany,18,3,0,0.17
,Haris Seferović *,Switzerland,9,3,0,0.33
,Semih Şentürk,Turkey,5,3,0,0.60
, Sérgio Conceição,Portugal,5,3,0,0.60
,Raheem Sterling *,England,10,3,0,0.30
,Hristo Stoichkov,Bulgaria,3,3,1,1.00
,Davor Šuker,Croatia,4,3,1,0.75
,Jon Dahl Tomasson,Denmark,7,3,0,0.43
,David Trezeguet,France,7,3,0,0.43
,Robin van Persie,Netherlands,7,3,0,0.43
,Georginio Wijnaldum *,Netherlands,4,3,0,0.75
,Hakan Yakin,Switzerland,6,3,1,0.50
,Zlatko Zahovič,Slovenia,3,3,0,1.00
80,Andrey Arshavin,Russia,6,2,0,0.33
,Nicklas Bendtner,Denmark,3,2,0,0.67
,Ferenc Bene,Hungary,3,2,0,0.67
,Oliver Bierhoff,Germany,4,2,0,0.50
,Birkir Bjarnason *,Iceland,5,2,0,0.40
,Laurent Blanc,France,13,2,0,0.15
,Leonardo Bonucci *,Italy,18,2,1,0.11
,Robbie Brady *,Ireland,4,2,1,0.50
,Pierluigi Casiraghi,Italy,3,2,0,0.67
,Jan Ceulemans,Belgium,7,2,0,0.29
,Federico Chiesa *,Italy,7,2,0,0.29
,Mikkel Damsgaard *,Denmark,5,2,0,0.40
,Frank de Boer,Netherlands,9,2,1,0.22
,Memphis Depay *,Netherlands,4,2,1,0.50
,Jean-François Domergue,France,5,2,0,0.40
,Christophe Dugarry,France,8,2,0,0.25
,Denzel Dumfries *,Netherlands,4,2,0,0.50
,Balázs Dzsudzsák *,Hungary,4,2,0,0.50
,Preben Elkjær Larsen,Denmark,6,2,0,0.33
,Jan Eriksson,Sweden,4,2,0,0.50
, Ferran Torres *,Spain,6,2,0,0.33
101,Milan Galić,Yugoslavia,2,2,0,1.00
,Ruud Geels,Netherlands,2,2,0,1.00
, Güiza,Spain,4,2,0,0.50
,Thomas Häßler,Germany,13,2,0,0.15
,Kai Havertz *,Germany,4,2,0,0.50
,Thorgan Hazard *,Belgium,4,2,0,0.50
,Marek Heinz,Czech Republic,4,2,0,0.50
,François Heutte,France,2,2,0,1.00
,Horst Hrubesch,Germany,3,2,0,0.67
,Ciro Immobile *,Italy,8,2,0,0.25
,Lorenzo Insigne *,Italy,9,2,0,0.22
,Filippo Inzaghi,Italy,4,2,1,0.50
,Drazan Jerković,Yugoslavia,2,2,0,1.00
,Petr Jiráček,Czech Republic,4,2,0,0.50
, João Vieira Pinto,Portugal,8,2,0,0.25
