,Index,Player,Country,Matches,Goals,Penatlies,AVG,Active
0,1,Cristiano Ronaldo,Portugal,25,14,3,0.56,True
1,2,Michel Platini,France,5,9,1,1.8,False
2,3,Antoine Griezmann,France,11,7,1,0.64,True
3,3,Alan Shearer,England,9,7,2,0.78,False
4,5,Álvaro Morata,Spain,10,6,0,0.6,True
5,5,Thierry Henry,France,11,6,0,0.55,False
6,5,Zlatan Ibrahimović,Sweden,13,6,1,0.46,False
7,5,Patrick Kluivert,Netherlands,9,6,0,0.67,False
8,5,Romelu Lukaku,Belgium,10,6,1,0.6,True
9,5,Nuno Gomes,Portugal,14,6,0,0.43,False
10,5,Wayne Rooney,England,10,6,1,0.6,False
11,5,Ruud van Nistelrooy,Netherlands,8,6,1,0.75,False
12,13,Milan Baroš,Czech Republic,10,5,0,0.5,False
13,13,Fernando Torres,Spain,13,5,0,0.38,False
14,13,Mario Gómez,Germany,13,5,0,0.38,False
15,13,Jürgen Klinsmann,Germany,13,5,1,0.38,False
16,13,Robert Lewandowski,Poland,11,5,0,0.45,True
17,13,Savo Milošević,Yugoslavia,4,5,0,1.25,False
18,13,Patrik Schick,Czech Republic,5,5,1,1.0,True
19,13,Marco van Basten,Netherlands,9,5,0,0.56,False
20,13,Zinédine Zidane,France,14,5,2,0.36,False
21,22,Karim Benzema,France,10,4,1,0.4,True
22,22,Dennis Bergkamp,Netherlands,13,4,0,0.31,False
23,22,Angelos Charisteas,Greece,9,4,0,0.44,False
24,22,David Villa,Spain,4,4,0,1.0,False
25,22,Dragan Džajić,Yugoslavia,5,4,0,0.8,False
26,22,Emil Forsberg,Sweden,7,4,1,0.57,True
27,22,Harry Kane,England,11,4,0,0.36,True
28,22,Henrik Larsson,Sweden,10,4,1,0.4,False
29,22,Dieter Müller,Germany,2,4,0,2.0,False
30,22,Gerd Müller,Germany,2,4,0,2.0,False
31,22,Roman Pavlyuchenko,Russia,8,4,0,0.5,False
32,22,Ivan Perišić,Croatia,10,4,0,0.4,True
33,22,Lukas Podolski,Germany,12,4,0,0.33,True
34,22,Xherdan Shaqiri,Switzerland,9,4,0,0.44,True
35,22,Vladimír Šmicer,Czech Republic,11,4,0,0.36,False
36,22,Rudi Völler,Germany,8,4,0,0.5,False
37,38,Alfonso,Spain,8,3,0,0.38,False
38,38,Klaus Allofs,Germany,6,3,0,0.5,False
39,38,Frank Arnesen,Denmark,4,3,2,0.75,False
40,38,Gareth Bale,Wales,10,3,0,0.3,False
41,38,Michael Ballack,Germany,11,3,0,0.27,False
42,38,Mario Balotelli,Italy,6,3,0,0.5,True
43,38,Jakub Błaszczykowski,Poland,8,3,0,0.38,False
44,38,Tomas Brolin,Sweden,4,3,1,0.75,False
45,38,Antonio Cassano,Italy,13,3,0,0.23,False
46,38,Cesc Fàbregas,Spain,16,3,0,0.19,False
47,38,David Silva,Spain,15,3,0,0.2,False
48,38,Youri Djorkaeff,France,10,3,0,0.3,False
