,Date,Result,Competitions,Home,Away,H,A
0,1929-06-01,D,International Friendly,Germany,Scotland,1,1
1,1936-10-14,H,International Friendly,Scotland,Germany,2,0
2,1957-05-22,A,International Friendly,West Germany,Scotland,1,3
3,1959-05-06,H,International Friendly,Scotland,West Germany,3,2
4,1964-05-12,D,International Friendly,West Germany,Scotland,2,2
5,1969-04-16,D,FIFA World Cup,Scotland,West Germany,1,1
6,1969-10-22,H,FIFA World Cup,West Germany,Scotland,3,2
7,1973-11-14,D,International Friendly,Scotland,West Germany,1,1
8,1974-03-27,H,International Friendly,Germany,Scotland,2,1
9,1986-06-08,H,FIFA World Cup,West Germany,Scotland,2,1
10,1992-06-15,A,UEFA European Championship,Scotland,Germany,0,2
11,1993-03-24,A,International Friendly,Scotland,Germany,0,1
12,1999-04-28,A,International Friendly,Germany,Scotland,0,1
13,2003-06-07,D,UEFA European Championship,Scotland,Germany,1,1
14,2003-09-10,H,UEFA European Championship,Germany,Scotland,2,1
15,2014-09-07,H,UEFA European Championship,Germany,Scotland,2,1
16,2015-09-07,A,UEFA European Championship,Scotland,Germany,2,3
17,1909-04-04,D,International Friendly,Hungary,Germany,3,3
18,1911-12-17,A,International Friendly,Germany,Hungary,1,4
19,1912-04-14,D,International Friendly,Hungary,Germany,4,4
20,1912-07-03,A,Olympics,Germany,Hungary,1,3
21,1920-10-24,H,International Friendly,Germany,Hungary,1,0
22,1921-06-05,H,International Friendly,Hungary,Germany,3,0
23,1922-07-02,D,International Friendly,Germany,Hungary,0,0
24,1924-09-21,H,International Friendly,Hungary,Germany,4,1
25,1930-09-28,H,International Friendly,Germany,Hungary,5,3
26,1932-10-30,H,International Friendly,Hungary,Germany,2,1
27,1934-01-14,H,International Friendly,Germany,Hungary,3,1
28,1936-03-15,H,International Friendly,Hungary,Germany,3,2
29,1938-03-20,D,International Friendly,Germany,Hungary,1,1
30,1939-09-24,H,International Friendly,Hungary,Germany,5,1
31,1940-04-07,D,International Friendly,Germany,Hungary,2,2
32,1940-10-06,D,International Friendly,Hungary,Germany,2,2
33,1941-04-06,H,International Friendly,Germany,Hungary,7,0
34,1942-05-03,A,International Friendly,Hungary,Germany,3,5
35,1954-06-20,H,FIFA World Cup,Hungary,West Germany,8,3
36,1954-07-04,H,FIFA World Cup,Germany,Hungary,3,2
37,1957-12-22,H,International Friendly,West Germany,Hungary,1,0
38,1959-11-08,H,International Friendly,Hungary,West Germany,4,3
39,1970-09-09,H,International Friendly,West Germany,Hungary,3,1
40,1972-03-29,A,International Friendly,Hungary,West Germany,0,2
41,1974-04-17,H,International Friendly,Germany,Hungary,5,0
42,1978-11-15,D,International Friendly,West Germany,Hungary,0,0
43,1983-09-07,D,International Friendly,Hungary,West Germany,1,1
44,1985-01-29,A,International Friendly,West Germany,Hungary,0,1
45,1987-11-18,D,International Friendly,Hungary,West Germany,0,0
46,1994-10-12,D,International Friendly,Hungary,Germany,0,0
47,2001-08-15,A,International Friendly,Hungary,Germany,2,5
48,2004-06-06,A,International Friendly,Germany,Hungary,0,2
49,2010-05-29,A,International Friendly,Hungary,Germany,0,3
50,2016-06-04,H,International Friendly,Germany,Hungary,2,0
51,2021-06-23,D,UEFA European Championship,Germany,Hungary,2,2
52,2022-06-11,D,UEFA Nations League,Hungary,Germany,1,1
53,2022-09-23,A,UEFA Nations League,Germany,Hungary,0,1
54,1908-04-05,H,International Friendly,Switzerland,Germany,5,3
55,1909-04-04,H,International Friendly,Germany,Switzerland,1,0
56,1910-04-03,A,International Friendly,Switzerland,Germany,2,3
57,1911-03-26,H,International Friendly,Germany,Switzerland,6,2
58,1912-05-05,A,International Friendly,Switzerland,Germany,1,2
59,1913-05-18,A,International Friendly,Germany,Switzerland,1,2
60,1920-06-27,H,International Friendly,Switzerland,Germany,4,1
61,1922-03-26,D,International Friendly,Germany,Switzerland,2,2
62,1923-06-03,A,International Friendly,Switzerland,Germany,1,2
63,1924-12-14,D,International Friendly,Germany,Switzerland,1,1
64,1925-10-25,A,International Friendly,Switzerland,Germany,0,4
65,1926-12-12,A,International Friendly,Germany,Switzerland,2,3
66,1928-04-15,A,International Friendly,Switzerland,Germany,2,3
67,1929-02-10,H,International Friendly,Germany,Switzerland,7,1
68,1930-05-04,A,International Friendly,Switzerland,Germany,0,5
69,1932-03-06,H,International Friendly,Germany,Switzerland,2,0
70,1933-11-19,A,International Friendly,Switzerland,Germany,0,2
71,1935-01-27,H,International Friendly,Germany,Switzerland,4,0
72,1937-05-02,A,International Friendly,Switzerland,Germany,0,1
73,1938-02-06,D,International Friendly,Germany,Switzerland,1,1
74,1938-06-04,D,FIFA World Cup,Germany,Switzerland,1,1
75,1938-06-09,A,FIFA World Cup,Germany,Switzerland,2,4
76,1941-03-09,H,International Friendly,Germany,Switzerland,4,2
77,1941-04-20,H,International Friendly,Switzerland,Germany,2,1
78,1942-02-01,A,International Friendly,Germany,Switzerland,1,2
79,1942-10-18,A,International Friendly,Switzerland,Germany,3,5
80,1950-11-22,H,International Friendly,West Germany,Switzerland,1,0
81,1951-04-15,A,International Friendly,Switzerland,West Germany,2,3
82,1952-11-09,H,International Friendly,West Germany,Switzerland,5,1
83,1954-04-25,A,International Friendly,Switzerland,West Germany,3,5
84,1956-11-21,A,International Friendly,West Germany,Switzerland,1,3
85,1959-10-04,A,International Friendly,Switzerland,West Germany,0,4
86,1962-06-03,H,FIFA World Cup,West Germany,Switzerland,2,1
87,1962-12-23,H,International Friendly,West Germany,Switzerland,5,1
88,1965-05-26,A,International Friendly,Switzerland,West Germany,0,1
89,1966-07-12,A,FIFA World Cup,Switzerland,Germany,0,5
90,1968-04-17,D,International Friendly,Switzerland,West Germany,0,0
91,1972-11-15,H,International Friendly,West Germany,Switzerland,5,1
92,1974-09-04,A,International Friendly,Switzerland,West Germany,1,2
93,1977-11-16,H,International Friendly,West Germany,Switzerland,4,1
94,1980-09-10,A,International Friendly,Switzerland,West Germany,2,3
95,1986-04-09,A,International Friendly,Switzerland,West Germany,0,1
96,1988-04-27,H,International Friendly,West Germany,Switzerland,1,0
97,1990-12-19,H,International Friendly,Germany,Switzerland,4,0
98,1995-06-23,A,Centenary,Switzerland,Germany,1,2
99,2000-04-26,D,International Friendly,Germany,Switzerland,1,1
100,2004-06-02,A,International Friendly,Switzerland,Germany,0,2
