23 Mar 1994;Spain v Croatia;L;0-2;International Friendly
05 May 1999;Spain v Croatia;W;3-1;International Friendly
23 Feb 2000;Croatia v Spain;D;0-0;International Friendly
07 Jun 2006;Spain v Croatia;W;2-1;International Friendly
18 Jun 2012;Croatia v Spain;W;0-1;UEFA European Championship
21 Jun 2016;Croatia v Spain;L;2-1;UEFA European Championship
11 Sep 2018;Spain v Croatia;W;6-0;UEFA Nations League
15 Nov 2018;Croatia v Spain;L;3-2;UEFA Nations League
28 Jun 2021;Croatia v Spain;W;3-5;UEFA European Championship
18 Jun 2023;Croatia v Spain;W;0-0;UEFA Nations League
09 Mar 1924;Italy v Spain;D;0-0;International Friendly
14 Jun 1925;Spain v Italy;W;1-0;International Friendly
29 May 1927;Italy v Spain;L;2-0;International Friendly
22 Apr 1928;Spain v Italy;D;1-1;International Friendly
22 Jun 1930;Italy v Spain;W;2-3;International Friendly
19 Apr 1931;Spain v Italy;D;0-0;International Friendly
31 May 1934;Italy v Spain;D;1-1;FIFA World Cup
01 Jun 1934;Italy v Spain;L;1-0;FIFA World Cup
19 Apr 1942;Italy v Spain;L;4-0;International Friendly
27 Mar 1949;Spain v Italy;L;1-3;International Friendly
28 Feb 1959;Italy v Spain;D;1-1;International Friendly
13 Mar 1960;Spain v Italy;W;3-1;International Friendly
21 Feb 1970;Spain v Italy;D;2-2;International Friendly
20 Feb 1971;Italy v Spain;W;1-2;International Friendly
25 Jan 1978;Spain v Italy;W;2-1;International Friendly
21 Dec 1978;Italy v Spain;L;1-0;International Friendly
12 Jun 1980;Italy v Spain;D;0-0;UEFA European Championship
14 Jun 1988;Italy v Spain;L;1-0;UEFA European Championship
09 Jul 1994;Italy v Spain;L;2-1;FIFA World Cup
18 Nov 1998;Italy v Spain;D;2-2;International Friendly
29 Mar 2000;Spain v Italy;W;2-0;International Friendly
28 Apr 2004;Italy v Spain;D;1-1;International Friendly
26 Mar 2008;Spain v Italy;W;1-0;International Friendly
22 Jun 2008;Italy v Spain;W;0-0;UEFA European Championship
10 Aug 2011;Italy v Spain;L;2-1;International Friendly
10 Jun 2012;Spain v Italy;D;1-1;UEFA European Championship
01 Jul 2012;Spain v Italy;W;4-0;UEFA European Championship
27 Jun 2013;Spain v Italy;W;0-0;FIFA Confederations Cup
05 Mar 2014;Spain v Italy;W;1-0;International Friendly
24 Mar 2016;Italy v Spain;D;1-1;International Friendly
27 Jun 2016;Italy v Spain;L;2-0;UEFA European Championship
06 Oct 2016;Italy v Spain;D;1-1;FIFA World Cup
02 Sep 2017;Spain v Italy;W;3-0;FIFA World Cup
06 Jul 2021;Italy v Spain;L;1-1;UEFA European Championship
06 Oct 2021;Italy v Spain;W;1-2;UEFA Nations League
15 Jun 2023;Spain v Italy;W;2-1;UEFA Nations League
03 Dec 1986;Albania v Spain;W;1-2;UEFA European Championship
18 Nov 1987;Spain v Albania;W;5-0;UEFA European Championship
19 Dec 1990;Spain v Albania;W;9-0;UEFA European Championship
22 Apr 1992;Spain v Albania;W;3-0;FIFA World Cup
22 Sep 1993;Albania v Spain;W;1-5;FIFA World Cup
09 Oct 2016;Albania v Spain;W;0-2;FIFA World Cup
06 Oct 2017;Spain v Albania;W;3-0;FIFA World Cup
26 Mar 2022;Spain v Albania;W;2-1;International Friendly
05 Apr 1942;Italy v Croatia;L;4-0;International Friendly
16 Nov 1994;Italy v Croatia;W;1-2;UEFA European Championship
08 Oct 1995;Croatia v Italy;D;1-1;UEFA European Championship
28 Apr 1999;Croatia v Italy;D;0-0;International Friendly
08 Jun 2002;Italy v Croatia;W;1-2;FIFA World Cup
16 Aug 2006;Italy v Croatia;W;0-2;International Friendly
14 Jun 2012;Italy v Croatia;D;1-1;UEFA European Championship
16 Nov 2014;Italy v Croatia;D;1-1;UEFA European Championship
12 Jun 2015;Croatia v Italy;D;1-1;UEFA European Championship
18 Nov 2014;Italy v Albania;L;1-0;International Friendly
24 Mar 2017;Italy v Albania;L;2-0;FIFA World Cup
09 Oct 2017;Albania v Italy;L;0-1;FIFA World Cup
16 Nov 2022;Albania v Italy;L;1-3;International Friendly
