,Date,Competitions,Home,Away,H,A,Result
0,1994-03-23,International Friendly,Spain,Croatia,0,2,A
1,1999-05-05,International Friendly,Spain,Croatia,3,1,H
2,2000-02-23,International Friendly,Croatia,Spain,0,0,D
3,2006-06-07,International Friendly,Spain,Croatia,2,1,H
4,2012-06-18,UEFA European Championship,Croatia,Spain,0,1,A
5,2016-06-21,UEFA European Championship,Croatia,Spain,2,1,H
6,2018-09-11,UEFA Nations League,Spain,Croatia,6,0,H
7,2018-11-15,UEFA Nations League,Croatia,Spain,3,2,H
8,2021-06-28,UEFA European Championship,Croatia,Spain,3,5,A
9,2023-06-18,UEFA Nations League,Croatia,Spain,0,0,D
10,1924-03-09,International Friendly,Italy,Spain,0,0,D
11,1925-06-14,International Friendly,Spain,Italy,1,0,H
12,1927-05-29,International Friendly,Italy,Spain,2,0,H
13,1928-04-22,International Friendly,Spain,Italy,1,1,D
14,1930-06-22,International Friendly,Italy,Spain,2,3,A
15,1931-04-19,International Friendly,Spain,Italy,0,0,D
16,1934-05-31,FIFA World Cup,Italy,Spain,1,1,D
17,1934-06-01,FIFA World Cup,Italy,Spain,1,0,H
18,1942-04-19,International Friendly,Italy,Spain,4,0,H
19,1949-03-27,International Friendly,Spain,Italy,1,3,A
20,1959-02-28,International Friendly,Italy,Spain,1,1,D
21,1960-03-13,International Friendly,Spain,Italy,3,1,H
22,1970-02-21,International Friendly,Spain,Italy,2,2,D
23,1971-02-20,International Friendly,Italy,Spain,1,2,A
24,1978-01-25,International Friendly,Spain,Italy,2,1,H
25,1978-12-21,International Friendly,Italy,Spain,1,0,H
26,1980-06-12,UEFA European Championship,Italy,Spain,0,0,D
27,1988-06-14,UEFA European Championship,Italy,Spain,1,0,H
28,1994-07-09,FIFA World Cup,Italy,Spain,2,1,H
29,1998-11-18,International Friendly,Italy,Spain,2,2,D
30,2000-03-29,International Friendly,Spain,Italy,2,0,H
31,2004-04-28,International Friendly,Italy,Spain,1,1,D
32,2008-03-26,International Friendly,Spain,Italy,1,0,H
33,2008-06-22,UEFA European Championship,Italy,Spain,0,0,D
34,2011-08-10,International Friendly,Italy,Spain,2,1,H
35,2012-06-10,UEFA European Championship,Spain,Italy,1,1,D
36,2012-07-01,UEFA European Championship,Spain,Italy,4,0,H
37,2013-06-27,FIFA Confederations Cup,Spain,Italy,0,0,D
38,2014-03-05,International Friendly,Spain,Italy,1,0,H
39,2016-03-24,International Friendly,Italy,Spain,1,1,D
40,2016-06-27,UEFA European Championship,Italy,Spain,2,0,H
41,2016-10-06,FIFA World Cup,Italy,Spain,1,1,D
42,2017-09-02,FIFA World Cup,Spain,Italy,3,0,H
43,2021-07-06,UEFA European Championship,Italy,Spain,1,1,D
44,2021-10-06,UEFA Nations League,Italy,Spain,1,2,A
45,2023-06-15,UEFA Nations League,Spain,Italy,2,1,H
46,1986-12-03,UEFA European Championship,Albania,Spain,1,2,A
47,1987-11-18,UEFA European Championship,Spain,Albania,5,0,H
48,1990-12-19,UEFA European Championship,Spain,Albania,9,0,H
49,1992-04-22,FIFA World Cup,Spain,Albania,3,0,H
50,1993-09-22,FIFA World Cup,Albania,Spain,1,5,A
51,2016-10-09,FIFA World Cup,Albania,Spain,0,2,A
52,2017-10-06,FIFA World Cup,Spain,Albania,3,0,H
53,2022-03-26,International Friendly,Spain,Albania,2,1,H
54,1942-04-05,International Friendly,Italy,Croatia,4,0,H
55,1994-11-16,UEFA European Championship,Italy,Croatia,1,2,A
56,1995-10-08,UEFA European Championship,Croatia,Italy,1,1,D
57,1999-04-28,International Friendly,Croatia,Italy,0,0,D
58,2002-06-08,FIFA World Cup,Italy,Croatia,1,2,A
59,2006-08-16,International Friendly,Italy,Croatia,0,2,A
60,2012-06-14,UEFA European Championship,Italy,Croatia,1,1,D
61,2014-11-16,UEFA European Championship,Italy,Croatia,1,1,D
62,2015-06-12,UEFA European Championship,Croatia,Italy,1,1,D
63,2014-11-18,International Friendly,Italy,Albania,1,0,H
64,2017-03-24,FIFA World Cup,Italy,Albania,2,0,H
65,2017-10-09,FIFA World Cup,Albania,Italy,0,1,A
66,2022-11-16,International Friendly,Albania,Italy,1,3,A
