,Date,Competitions,Home,Away,H,A,Result
0,2003-06-03,International Friendly,England,Serbia and Montenegro,2,1,H
1,1948-09-26,International Friendly,Denmark,England,0,0,D
2,1955-10-02,International Friendly,Denmark,England,1,5,A
3,1956-12-05,FIFA World Cup,England,Denmark,5,2,H
4,1957-05-15,FIFA World Cup,Denmark,England,1,4,A
5,1966-07-03,International Friendly,Denmark,England,0,2,A
6,1978-09-20,UEFA European Championship,Denmark,England,3,4,A
7,1979-09-12,UEFA European Championship,England,Denmark,1,0,H
8,1982-09-22,UEFA European Championship,Denmark,England,2,2,D
9,1983-09-21,UEFA European Championship,England,Denmark,0,1,A
10,1988-09-14,International Friendly,England,Denmark,1,0,H
11,1989-06-07,International Friendly,Denmark,England,1,1,D
12,1990-05-15,International Friendly,England,Denmark,1,0,H
13,1992-06-11,UEFA European Championship,Denmark,England,0,0,D
14,1994-03-09,International Friendly,England,Denmark,1,0,H
15,2002-06-15,FIFA World Cup,Denmark,England,0,3,A
16,2003-11-16,International Friendly,England,Denmark,2,3,A
17,2005-08-17,International Friendly,Denmark,England,4,1,H
18,2011-02-09,International Friendly,Denmark,England,1,2,A
19,2014-03-05,International Friendly,England,Denmark,1,0,H
20,2020-09-08,UEFA Nations League,Denmark,England,0,0,D
21,2020-10-14,UEFA Nations League,England,Denmark,0,1,A
22,2021-07-07,UEFA European Championship,England,Denmark,2,1,H
23,2009-09-05,International Friendly,England,Slovenia,2,1,H
24,2010-06-23,FIFA World Cup,Slovenia,England,0,1,A
25,2014-11-15,UEFA European Championship,England,Slovenia,3,1,H
26,2015-06-14,UEFA European Championship,Slovenia,England,2,3,A
27,2016-10-11,FIFA World Cup,Slovenia,England,0,0,D
28,2017-10-05,FIFA World Cup,England,Slovenia,1,0,H
29,1996-09-01,FIFA World Cup,Slovenia,Denmark,0,2,A
30,1997-04-30,FIFA World Cup,Denmark,Slovenia,4,0,H
31,2001-04-25,International Friendly,Denmark,Slovenia,3,0,H
32,2008-02-06,International Friendly,Slovenia,Denmark,1,2,A
33,2023-06-19,UEFA European Championship,Slovenia,Denmark,1,1,D
34,2023-11-17,UEFA European Championship,Denmark,Slovenia,2,1,H
35,2014-11-14,UEFA European Championship,Serbia,Denmark,1,3,A
36,2015-06-13,UEFA European Championship,Denmark,Serbia,2,0,H
37,2022-03-29,International Friendly,Denmark,Serbia,3,0,H
38,2010-09-07,UEFA European Championship,Serbia,Slovenia,1,1,D
39,2011-10-11,UEFA European Championship,Slovenia,Serbia,1,0,H
40,2022-06-05,UEFA Nations League,Serbia,Slovenia,4,1,H
41,2022-06-12,UEFA Nations League,Slovenia,Serbia,2,2,D
