15 Jun 1930;Poland v Austria;W;3-1;A v Amateur
12 May 1935;Austria v Poland;L;5-2;International Friendly
06 Oct 1935;Poland v Austria;W;1-0;International Friendly
24 Aug 1977;Austria v Poland;L;2-1;International Friendly
19 May 1992;Austria v Poland;W;2-4;International Friendly
17 May 1994;Poland v Austria;L;3-4;International Friendly
09 Oct 2004;Austria v Poland;W;1-3;FIFA World Cup
03 Sep 2005;Poland v Austria;W;3-2;FIFA World Cup
12 Jun 2008;Austria v Poland;D;1-1;UEFA European Championship
21 Mar 2019;Austria v Poland;W;0-1;UEFA European Championship
09 Sep 2019;Poland v Austria;D;0-0;UEFA European Championship
22 Jan 1939;France v Poland;L;4-0;International Friendly
28 Sep 1960;Poland v France;D;2-2;International Friendly
11 Apr 1962;France v Poland;W;1-3;International Friendly
22 Oct 1966;France v Poland;L;2-1;UEFA European Championship
17 Sep 1967;Poland v France;L;1-4;UEFA European Championship
07 Sep 1974;Poland v France;L;0-2;International Friendly
24 Apr 1976;France v Poland;L;2-0;International Friendly
10 Jul 1982;Poland v France;W;3-2;FIFA World Cup
31 Aug 1982;France v Poland;W;0-4;International Friendly
15 Aug 1990;France v Poland;D;0-0;International Friendly
14 Aug 1991;Poland v France;L;1-5;International Friendly
16 Nov 1994;Poland v France;D;0-0;UEFA European Championship
16 Aug 1995;France v Poland;D;1-1;UEFA European Championship
23 Feb 2000;France v Poland;L;1-0;International Friendly
17 Nov 2004;France v Poland;D;0-0;International Friendly
09 Jun 2011;Poland v France;L;0-1;International Friendly
04 Dec 2022;France v Poland;L;3-1;FIFA World Cup
01 May 1968;Poland v Netherlands;D;0-0;International Friendly
07 May 1969;Netherlands v Poland;L;1-0;FIFA World Cup
07 Sep 1969;Poland v Netherlands;W;2-1;FIFA World Cup
10 Oct 1973;Netherlands v Poland;D;1-1;International Friendly
10 Sep 1975;Poland v Netherlands;W;4-1;UEFA European Championship
15 Oct 1975;Netherlands v Poland;L;3-0;UEFA European Championship
02 May 1979;Poland v Netherlands;W;2-0;UEFA European Championship
17 Oct 1979;Netherlands v Poland;D;1-1;UEFA European Championship
19 Nov 1986;Netherlands v Poland;D;0-0;UEFA European Championship
14 Oct 1987;Poland v Netherlands;L;0-2;UEFA European Championship
11 Sep 1991;Netherlands v Poland;D;1-1;International Friendly
14 Oct 1992;Netherlands v Poland;D;2-2;FIFA World Cup
17 Nov 1993;Poland v Netherlands;L;1-3;FIFA World Cup
04 Jun 2000;Netherlands v Poland;L;3-1;International Friendly
01 Jun 2016;Poland v Netherlands;L;1-2;International Friendly
04 Sep 2020;Netherlands v Poland;L;1-0;UEFA Nations League
18 Nov 2020;Poland v Netherlands;L;1-2;UEFA Nations League
11 Jun 2022;Netherlands v Poland;D;2-2;UEFA Nations League
22 Sep 2022;Poland v Netherlands;L;0-2;UEFA Nations League
10 May 1908;Netherlands v France;L;4-1;International Friendly
13 Nov 1921;France v Netherlands;L;0-5;International Friendly
02 Apr 1923;Netherlands v France;L;8-1;International Friendly
29 Nov 1931;France v Netherlands;L;3-4;International Friendly
10 May 1934;Netherlands v France;W;4-5;International Friendly
12 Jan 1936;France v Netherlands;L;1-6;International Friendly
31 Oct 1937;Netherlands v France;W;2-3;International Friendly
26 May 1947;France v Netherlands;W;4-0;International Friendly
23 Apr 1949;Netherlands v France;L;4-1;International Friendly
10 Dec 1950;France v Netherlands;W;5-2;International Friendly
17 Apr 1963;Netherlands v France;L;1-0;International Friendly
26 Mar 1980;France v Netherlands;D;0-0;International Friendly
25 Mar 1981;Netherlands v France;L;1-0;FIFA World Cup
18 Nov 1981;France v Netherlands;W;2-0;FIFA World Cup
10 Nov 1982;Netherlands v France;W;1-2;International Friendly
05 Jun 1992;France v Netherlands;D;1-1;International Friendly
18 Jan 1995;Netherlands v France;W;0-1;International Friendly
22 Jun 1996;France v Netherlands;W;0-0;UEFA European Championship
26 Feb 1997;France v Netherlands;W;2-1;International Friendly
21 Jun 2000;Netherlands v France;L;3-2;UEFA European Championship
31 Mar 2004;Netherlands v France;D;0-0;International Friendly
13 Jun 2008;France v Netherlands;L;1-4;UEFA European Championship
05 Mar 2014;France v Netherlands;W;2-0;International Friendly
25 Mar 2016;Netherlands v France;W;2-3;International Friendly
10 Oct 2016;Netherlands v France;W;0-1;FIFA World Cup
31 Aug 2017;France v Netherlands;W;4-0;FIFA World Cup
09 Sep 2018;France v Netherlands;W;2-1;UEFA Nations League
16 Nov 2018;Netherlands v France;L;2-0;UEFA Nations League
