,Date,Competitions,Home,Away,H,A,Result
0,1930-06-15,A v Amateur,Poland,Austria,3,1,H
1,1935-05-12,International Friendly,Austria,Poland,5,2,H
2,1935-10-06,International Friendly,Poland,Austria,1,0,H
3,1977-08-24,International Friendly,Austria,Poland,2,1,H
4,1992-05-19,International Friendly,Austria,Poland,2,4,A
5,1994-05-17,International Friendly,Poland,Austria,3,4,A
6,2004-10-09,FIFA World Cup,Austria,Poland,1,3,A
7,2005-09-03,FIFA World Cup,Poland,Austria,3,2,H
8,2008-06-12,UEFA European Championship,Austria,Poland,1,1,D
9,2019-03-21,UEFA European Championship,Austria,Poland,0,1,A
10,2019-09-09,UEFA European Championship,Poland,Austria,0,0,D
11,1939-01-22,International Friendly,France,Poland,4,0,H
12,1960-09-28,International Friendly,Poland,France,2,2,D
13,1962-04-11,International Friendly,France,Poland,1,3,A
14,1966-10-22,UEFA European Championship,France,Poland,2,1,H
15,1967-09-17,UEFA European Championship,Poland,France,1,4,A
16,1974-09-07,International Friendly,Poland,France,0,2,A
17,1976-04-24,International Friendly,France,Poland,2,0,H
18,1982-07-10,FIFA World Cup,Poland,France,3,2,H
19,1982-08-31,International Friendly,France,Poland,0,4,A
20,1990-08-15,International Friendly,France,Poland,0,0,D
21,1991-08-14,International Friendly,Poland,France,1,5,A
22,1994-11-16,UEFA European Championship,Poland,France,0,0,D
23,1995-08-16,UEFA European Championship,France,Poland,1,1,D
24,2000-02-23,International Friendly,France,Poland,1,0,H
25,2004-11-17,International Friendly,France,Poland,0,0,D
26,2011-06-09,International Friendly,Poland,France,0,1,A
27,2022-12-04,FIFA World Cup,France,Poland,3,1,H
28,1968-05-01,International Friendly,Poland,Netherlands,0,0,D
29,1969-05-07,FIFA World Cup,Netherlands,Poland,1,0,H
30,1969-09-07,FIFA World Cup,Poland,Netherlands,2,1,H
31,1973-10-10,International Friendly,Netherlands,Poland,1,1,D
32,1975-09-10,UEFA European Championship,Poland,Netherlands,4,1,H
33,1975-10-15,UEFA European Championship,Netherlands,Poland,3,0,H
