17 Apr 2002;Belgium v Slovakia;D;1-1;International Friendly
20 May 2006;Slovakia v Belgium;D;1-1;International Friendly
06 Feb 2013;Belgium v Slovakia;W;2-1;International Friendly
10 Jun 1937;Romania v Belgium;L;2-1;International Friendly
28 Sep 1955;Romania v Belgium;L;1-0;International Friendly
26 May 1957;Belgium v Romania;W;1-0;International Friendly
06 Jun 1980;Belgium v Romania;W;2-1;International Friendly
24 Mar 1982;Belgium v Romania;W;4-1;International Friendly
26 May 1990;Belgium v Romania;D;2-2;International Friendly
14 Oct 1992;Belgium v Romania;W;1-0;FIFA World Cup
13 Oct 1993;Romania v Belgium;L;2-1;FIFA World Cup
22 Apr 1998;Belgium v Romania;D;1-1;International Friendly
28 Apr 1999;Romania v Belgium;L;1-0;International Friendly
11 Nov 2011;Belgium v Romania;W;2-1;International Friendly
14 Nov 2012;Romania v Belgium;L;2-1;International Friendly
14 Oct 1941;Romania v Slovakia;L;3-2;International Friendly
23 Aug 1942;Slovakia v Romania;W;1-0;International Friendly
13 Jun 1943;Romania v Slovakia;D;2-2;International Friendly
12 Nov 1994;Romania v Slovakia;L;3-2;UEFA European Championship
15 Nov 1995;Slovakia v Romania;L;0-2;UEFA European Championship
27 Mar 1999;Romania v Slovakia;D;0-0;UEFA European Championship
04 Sep 1999;Slovakia v Romania;L;1-5;UEFA European Championship
25 Apr 2001;Romania v Slovakia;D;0-0;International Friendly
12 Feb 2003;Romania v Slovakia;L;2-1;Four Team Tournament
09 Feb 2005;Romania v Slovakia;D;2-2;International Friendly
14 Aug 2013;Romania v Slovakia;D;1-1;International Friendly
20 Nov 2002;Slovakia v Ukraine;D;1-1;International Friendly
28 Apr 2004;Ukraine v Slovakia;D;1-1;International Friendly
10 Feb 2009;Slovakia v Ukraine;L;2-3;International Friendly
08 Sep 2014;Ukraine v Slovakia;W;0-1;UEFA European Championship
08 Sep 2015;Slovakia v Ukraine;D;0-0;UEFA European Championship
10 Nov 2017;Ukraine v Slovakia;L;2-1;International Friendly
09 Sep 2018;Ukraine v Slovakia;L;1-0;UEFA Nations League
16 Nov 2018;Slovakia v Ukraine;W;4-1;UEFA Nations League
26 Feb 2001;Ukraine v Romania;L;0-1;Cyprus International Tournament
27 Mar 2002;Romania v Ukraine;L;4-1;International Friendly
20 Aug 2003;Ukraine v Romania;L;0-2;International Friendly
29 May 2010;Ukraine v Romania;W;3-2;International Friendly
08 Feb 2011;Romania v Ukraine;W;2-2;Cyprus International Tournament
29 May 2016;Romania v Ukraine;W;3-4;International Friendly
