,Date,Competitions,Home,Away,H,A,Result
0,2002-04-17,International Friendly,Belgium,Slovakia,1,1,D
1,2006-05-20,International Friendly,Slovakia,Belgium,1,1,D
2,2013-02-06,International Friendly,Belgium,Slovakia,2,1,H
3,1937-06-10,International Friendly,Romania,Belgium,2,1,H
4,1955-09-28,International Friendly,Romania,Belgium,1,0,H
5,1957-05-26,International Friendly,Belgium,Romania,1,0,H
6,1980-06-06,International Friendly,Belgium,Romania,2,1,H
7,1982-03-24,International Friendly,Belgium,Romania,4,1,H
8,1990-05-26,International Friendly,Belgium,Romania,2,2,D
9,1992-10-14,FIFA World Cup,Belgium,Romania,1,0,H
10,1993-10-13,FIFA World Cup,Romania,Belgium,2,1,H
11,1998-04-22,International Friendly,Belgium,Romania,1,1,D
12,1999-04-28,International Friendly,Romania,Belgium,1,0,H
13,2011-11-11,International Friendly,Belgium,Romania,2,1,H
14,2012-11-14,International Friendly,Romania,Belgium,2,1,H
15,1941-10-14,International Friendly,Romania,Slovakia,3,2,H
16,1942-08-23,International Friendly,Slovakia,Romania,1,0,H
17,1943-06-13,International Friendly,Romania,Slovakia,2,2,D
18,1994-11-12,UEFA European Championship,Romania,Slovakia,3,2,H
19,1995-11-15,UEFA European Championship,Slovakia,Romania,0,2,A
20,1999-03-27,UEFA European Championship,Romania,Slovakia,0,0,D
21,1999-09-04,UEFA European Championship,Slovakia,Romania,1,5,A
22,2001-04-25,International Friendly,Romania,Slovakia,0,0,D
23,2003-02-12,Four Team Tournament,Romania,Slovakia,2,1,H
24,2005-02-09,International Friendly,Romania,Slovakia,2,2,D
25,2013-08-14,International Friendly,Romania,Slovakia,1,1,D
26,2002-11-20,International Friendly,Slovakia,Ukraine,1,1,D
27,2004-04-28,International Friendly,Ukraine,Slovakia,1,1,D
28,2009-02-10,International Friendly,Slovakia,Ukraine,2,3,A
29,2014-09-08,UEFA European Championship,Ukraine,Slovakia,0,1,A
30,2015-09-08,UEFA European Championship,Slovakia,Ukraine,0,0,D
31,2017-11-10,International Friendly,Ukraine,Slovakia,2,1,H
32,2018-09-09,UEFA Nations League,Ukraine,Slovakia,1,0,H
33,2018-11-16,UEFA Nations League,Slovakia,Ukraine,4,1,H
34,2001-02-26,Cyprus International Tournament,Ukraine,Romania,0,1,A
35,2002-03-27,International Friendly,Romania,Ukraine,4,1,H
36,2003-08-20,International Friendly,Ukraine,Romania,0,2,A
37,2010-05-29,International Friendly,Ukraine,Romania,3,2,H
38,2011-02-08,Cyprus International Tournament,Romania,Ukraine,2,2,D
39,2016-05-29,International Friendly,Romania,Ukraine,3,4,A
