,Date,Competitions,Home,Away,H,A,Result
0,1994-02-23,International Friendly,Turkey,Czech Republic,1,4,A
1,1996-03-26,International Friendly,Czech Republic,Turkey,3,0,H
2,2003-04-30,International Friendly,Czech Republic,Turkey,4,0,H
3,2006-03-01,International Friendly,Turkey,Czech Republic,2,2,D
4,2008-06-15,UEFA European Championship,Czech Republic,Turkey,2,3,A
5,2010-05-22,International Friendly,Turkey,Czech Republic,2,1,H
6,2013-02-06,International Friendly,Turkey,Czech Republic,0,2,A
7,2014-10-10,UEFA European Championship,Turkey,Czech Republic,1,2,A
8,2015-10-10,UEFA European Championship,Czech Republic,Turkey,0,2,A
9,2016-06-21,UEFA European Championship,Czech Republic,Turkey,0,2,A
10,2022-11-19,International Friendly,Turkey,Czech Republic,2,1,H
11,2002-08-21,International Friendly,Turkey,Georgia,3,0,H
12,2004-09-04,FIFA World Cup,Turkey,Georgia,1,1,D
13,2005-03-30,FIFA World Cup,Georgia,Turkey,2,5,A
14,2007-02-07,International Friendly,Georgia,Turkey,1,0,H
15,2012-05-24,International Friendly,Georgia,Turkey,1,3,A
16,1955-12-18,International Friendly,Turkey,Portugal,3,1,H
17,1956-03-25,International Friendly,Portugal,Turkey,3,1,H
18,1965-01-24,FIFA World Cup,Portugal,Turkey,5,1,H
19,1965-04-19,FIFA World Cup,Turkey,Portugal,0,1,A
20,1996-06-14,UEFA European Championship,Portugal,Turkey,1,0,H
21,2000-06-24,UEFA European Championship,Portugal,Turkey,2,0,H
22,2008-06-07,UEFA European Championship,Portugal,Turkey,2,0,H
23,2012-06-02,International Friendly,Portugal,Turkey,1,3,A
24,2022-03-24,FIFA World Cup,Portugal,Turkey,3,1,H
25,2008-05-31,International Friendly,Portugal,Georgia,2,0,H
26,1996-06-23,UEFA European Championship,Portugal,Czech Republic,0,1,A
27,2008-06-11,UEFA European Championship,Czech Republic,Portugal,1,3,A
28,2012-06-21,UEFA European Championship,Czech Republic,Portugal,0,1,A
29,2022-06-09,UEFA Nations League,Portugal,Czech Republic,2,0,H
30,2022-09-24,UEFA Nations League,Czech Republic,Portugal,0,4,A
