 Cristiano Ronaldo *,Portugal,25
 João Moutinho *,Portugal,19
 Pepe *,Portugal,19
Leonardo Bonucci *,Italy,18
Bastian Schweinsteiger,Germany,18
Gianluigi Buffon,Italy,17
Giorgio Chiellini,Italy,17
 Cesc Fàbregas,Spain,16
 Iniesta *,Spain,16
 Jordi Alba *,Spain,16
 Rui Patrício *,Portugal,16
Lilian Thuram,France,16
Edwin van der Sar,Netherlands,16
 David Silva,Spain,15
Hugo Lloris *,France,15
Thomas Müller *,Germany,15
 Nani *,Portugal,15
Manuel Neuer *,Germany,15
 Sergio Ramos *,Spain,15
 Busquets *,Spain,14
Petr Čech,Czech Republic,14
 Iker Casillas,Spain,14
Toni Kroos *,Germany,14
Philipp Lahm,Germany,14
 Luís Figo,Portugal,14
 Nuno Gomes,Portugal,14
Karel Poborský,Czech Republic,14
Zinédine Zidane,France,14
Dennis Bergkamp,Netherlands,13
Laurent Blanc,France,13
Antonio Cassano,Italy,13
Phillip Cocu,Netherlands,13
Alessandro Del Piero,Italy,13
Didier Deschamps,France,13
 Fernando Torres,Spain,13
Mario Gómez,Germany,13
Thomas Häßler,Germany,13
Mats Hummels *,Germany,13
Zlatan Ibrahimović,Sweden,13
Andreas Isaksson,Sweden,13
Kostas Katsouranis,Greece,13
Jürgen Klinsmann,Germany,13
Miroslav Klose,Germany,13
Paolo Maldini,Italy,13
Olof Mellberg,Sweden,13
Luka Modrić *,Croatia,13
Peter Schmeichel,Denmark,13
Andreas Brehme,Germany,12
Edgar Davids,Netherlands,12
Daniele De Rossi,Italy,12
Marcel Desailly,France,12
 Fernando Couto,Portugal,12
Kim Källström,Sweden,12
Bixente Lizarazu,France,12
Pavel Nedvěd,Czech Republic,12
Lukas Podolski *,Germany,12
 Rui Costa,Portugal,12
Darijo Srna,Croatia,12
 Xabi Alonso,Spain,12
Michael Ballack,Germany,11
Vedran Ćorluka,Croatia,11
Olivier Giroud *,France,11
Antoine Griezmann *,France,11
Thierry Henry,France,11
Harry Kane *,England,11
Sebastian Larsson,Sweden,11
Robert Lewandowski *,Poland,11
Lothar Matthäus,Germany,11
Gary Neville,England,11
Mesut Özil,Germany,11
Andrea Pirlo,Italy,11
Jaroslav Plašil,Czech Republic,11
Paul Pogba *,France,11
 Ricardo Carvalho,Portugal,11
Vladimír Šmicer,Czech Republic,11
Giovanni van Bronckhorst,Netherlands,11
 Xavi,Spain,11
Andrey Yarmolenko *,Ukraine,11
Gianluca Zambrotta,Italy,11
Joe Allen *,Wales,10
 Álvaro Morata *,Spain,10
Gareth Bale,Wales,10
Milan Baroš,Czech Republic,10
Andrea Barzagli,Italy,10
Karim Benzema *,France,10
Jérôme Boateng *,Germany,10
 Costinha,Portugal,10
Thibaut Courtois *,Belgium,10
Youri Djorkaeff,France,10
Patrice Evra,France,10
 Gordillo,Spain,10
Sergey Ignashevich,Russia,10
Giorgios Karagounis,Greece,10
Sami Khedira,Germany,10
Jürgen Kohler,Germany,10
Jan Koller,Czech Republic,10
Henrik Larsson,Sweden,10
Michael Laudrup,Denmark,10
Freddie Ljungberg,Sweden,10
Romelu Lukaku *,Belgium,10
Ivan Perišić *,Croatia,10
 Piqué,Spain,10
Ivan Rakitić *,Croatia,10
Michael Reiziger,Netherlands,10
