,Player,Country,Matches,Active
1,Cristiano Ronaldo,Portugal,25,True
2,João Moutinho,Portugal,19,True
3,Pepe,Portugal,19,True
4,Leonardo Bonucci,Italy,18,True
5,Bastian Schweinsteiger,Germany,18,False
6,Gianluigi Buffon,Italy,17,False
7,Giorgio Chiellini,Italy,17,False
8,Cesc Fàbregas,Spain,16,False
9,Iniesta,Spain,16,True
10,Jordi Alba,Spain,16,True
11,Rui Patrício,Portugal,16,True
12,Lilian Thuram,France,16,False
13,Edwin van der Sar,Netherlands,16,False
14,David Silva,Spain,15,False
15,Hugo Lloris,France,15,True
16,Thomas Müller,Germany,15,True
17,Nani,Portugal,15,True
18,Manuel Neuer,Germany,15,True
19,Sergio Ramos,Spain,15,True
20,Busquets,Spain,14,True
21,Petr Čech,Czech Republic,14,False
22,Iker Casillas,Spain,14,False
23,Toni Kroos,Germany,14,True
24,Philipp Lahm,Germany,14,False
25,Luís Figo,Portugal,14,False
26,Nuno Gomes,Portugal,14,False
27,Karel Poborský,Czech Republic,14,False
28,Zinédine Zidane,France,14,False
29,Dennis Bergkamp,Netherlands,13,False
30,Laurent Blanc,France,13,False
31,Antonio Cassano,Italy,13,False
32,Phillip Cocu,Netherlands,13,False
33,Alessandro Del Piero,Italy,13,False
34,Didier Deschamps,France,13,False
35,Fernando Torres,Spain,13,False
36,Mario Gómez,Germany,13,False
37,Thomas Häßler,Germany,13,False
38,Mats Hummels,Germany,13,True
39,Zlatan Ibrahimović,Sweden,13,False
40,Andreas Isaksson,Sweden,13,False
41,Kostas Katsouranis,Greece,13,False
42,Jürgen Klinsmann,Germany,13,False
43,Miroslav Klose,Germany,13,False
44,Paolo Maldini,Italy,13,False
45,Olof Mellberg,Sweden,13,False
46,Luka Modrić,Croatia,13,True
47,Peter Schmeichel,Denmark,13,False
48,Andreas Brehme,Germany,12,False
49,Edgar Davids,Netherlands,12,False
50,Daniele De Rossi,Italy,12,False
51,Marcel Desailly,France,12,False
52,Fernando Couto,Portugal,12,False
53,Kim Källström,Sweden,12,False
54,Bixente Lizarazu,France,12,False
55,Pavel Nedvěd,Czech Republic,12,False
56,Lukas Podolski,Germany,12,True
57,Rui Costa,Portugal,12,False
58,Darijo Srna,Croatia,12,False
59,Xabi Alonso,Spain,12,False
60,Michael Ballack,Germany,11,False
61,Vedran Ćorluka,Croatia,11,False
62,Olivier Giroud,France,11,True
63,Antoine Griezmann,France,11,True
64,Thierry Henry,France,11,False
65,Harry Kane,England,11,True
66,Sebastian Larsson,Sweden,11,False
67,Robert Lewandowski,Poland,11,True
68,Lothar Matthäus,Germany,11,False
69,Gary Neville,England,11,False
70,Mesut Özil,Germany,11,False
71,Andrea Pirlo,Italy,11,False
72,Jaroslav Plašil,Czech Republic,11,False
73,Paul Pogba,France,11,True
74,Ricardo Carvalho,Portugal,11,False
75,Vladimír Šmicer,Czech Republic,11,False
76,Giovanni van Bronckhorst,Netherlands,11,False
77,Xavi,Spain,11,False
78,Andrey Yarmolenko,Ukraine,11,True
79,Gianluca Zambrotta,Italy,11,False
80,Joe Allen,Wales,10,True
81,Álvaro Morata,Spain,10,True
82,Gareth Bale,Wales,10,False
83,Milan Baroš,Czech Republic,10,False
84,Andrea Barzagli,Italy,10,False
85,Karim Benzema,France,10,True
86,Jérôme Boateng,Germany,10,True
87,Costinha,Portugal,10,False
88,Thibaut Courtois,Belgium,10,True
89,Youri Djorkaeff,France,10,False
90,Patrice Evra,France,10,False
91,Gordillo,Spain,10,False
92,Sergey Ignashevich,Russia,10,False
93,Giorgios Karagounis,Greece,10,False
94,Sami Khedira,Germany,10,False
95,Jürgen Kohler,Germany,10,False
96,Jan Koller,Czech Republic,10,False
97,Henrik Larsson,Sweden,10,False
98,Michael Laudrup,Denmark,10,False
99,Freddie Ljungberg,Sweden,10,False
100,Romelu Lukaku,Belgium,10,True
101,Ivan Perišić,Croatia,10,True
102,Piqué,Spain,10,False
103,Ivan Rakitić,Croatia,10,True
104,Michael Reiziger,Netherlands,10,False
105,Renato Sanches,Portugal,10,True
106,Ricardo,Portugal,10,False
107,Wayne Rooney,England,10,False
108,Tomáš Rosický,Czech Republic,10,False
109,Matthias Sammer,Germany,10,False
110,Clarence Seedorf,Netherlands,10,False
111,John Sivebæk,Denmark,10,False
112,Raheem Sterling,England,10,True
113,Tony Adams,England,9,False
114,Toby Alderweireld,Belgium,9,True
115,Aleksandr Anyukov,Russia,9,False
116,Fabien Barthez,France,9,False
117,Angelos Charisteas,Greece,9,False
118,Danilo,Portugal,9,True
119,Ben Davies,Wales,9,True
120,Frank de Boer,Netherlands,9,False
121,Kevin De Bruyne,Belgium,9,True
122,Deco,Portugal,9,False
123,Traianos Dellas,Greece,9,False
124,Breel Embolo,Switzerland,9,True
125,Stefano Fiore,Italy,9,False
126,Steven Gerrard,England,9,False
127,Raphaël Guerreiro,Portugal,9,True
128,Ruud Gullit,Netherlands,9,False
129,Eden Hazard,Belgium,9,False
130,Thomas Helmer,Germany,9,False
131,Thomas Helveg,Denmark,9,False
132,Lorenzo Insigne,Italy,9,True
133,Marek Jankulovski,Czech Republic,9,False
134,Simon Kjær,Denmark,9,True
135,Patrick Kluivert,Netherlands,9,False
136,Ronald Koeman,Netherlands,9,False
137,Dries Mertens,Belgium,9,True
138,Thomas Meunier,Belgium,9,True
139,Jiří Němec,Czech Republic,9,False
140,Alessandro Nesta,Italy,9,False
141,Antonis Nikopolidis,Greece,9,False
142,Aaron Ramsey,Wales,9,True
143,Rüştü Reçber,Turkey,9,False
144,Ricardo Quaresma,Portugal,9,False
145,Frank Rijkaard,Netherlands,9,False
146,Arjen Robben,Netherlands,9,False
147,Ricardo Rodríguez,Switzerland,9,True
148,Haris Seferović,Switzerland,9,True
149,Xherdan Shaqiri,Switzerland,9,True
150,Alan Shearer,England,9,False
151,Yann Sommer,Switzerland,9,True
152,Jaap Stam,Netherlands,9,False
153,Anders Svensson,Sweden,9,False
154,Thiago Motta,Italy,9,False
155,Marco van Basten,Netherlands,9,False
156,Hans van Breukelen,Netherlands,9,False
157,Rafael van der Vaart,Netherlands,9,False
158,Adri van Tiggelen,Netherlands,9,False
159,Thomas Vermaelen,Belgium,9,False
160,Patrick Vieira,France,9,False
161,Kyle Walker,England,9,True
162,Aron Winter,Netherlands,9,False
163,Axel Witsel,Belgium,9,True
164,Jan Wouters,Netherlands,9,False
165,Yuriy Zhirkov,Russia,9,False
166,Igor Akinfeev,Russia,8,True
167,Demetrio Albertini,Italy,8,False
168,Alfonso,Spain,8,False
169,Nicolas Anelka,France,8,False
170,Arconada,Spain,8,False
171,Hakan Balta,Turkey,8,False
172,Angelos Basinas,Greece,8,False
173,Radek Bejbl,Czech Republic,8,False
174,Jakub Błaszczykowski,Poland,8,False
175,Guido Buchwald,Germany,8,False
176,Sol Campbell,England,8,False
177,Fabio Cannavaro,Italy,8,False
178,Yannick Carrasco,Belgium,8,True
179,Ashley Cole,England,8,False
180,Kingsley Coman,France,8,True
181,Vladimír Darida,Czech Republic,8,True
182,Dimas,Portugal,8,False
183,Christophe Dugarry,France,8,False
184,Luis Fernández,France,8,False
185,Torsten Frings,Germany,8,False
186,Tomáš Galásek,Czech Republic,8,False
187,Kamil Glik,Poland,8,True
188,Gheorghe Hagi,Romania,8,False
189,Joe Hart,England,8,True
190,John Heitinga,Netherlands,8,False
191,Jordan Henderson,England,8,True
192,Ciro Immobile,Italy,8,True
193,João Vieira Pinto,Portugal,8,False
194,N'Golo Kanté,France,8,True
195,Joshua Kimmich,Germany,8,True
196,Laurent Koscielny,France,8,False
197,Brian Laudrup,Denmark,8,False
198,Aleksey Mikhaylichenko,CISUSSR,8,False
199,Andreas Möller,Germany,8,False
200,Lars Olsen,Denmark,8,False
201,Marc Overmars,Netherlands,8,False
202,Roman Pavlyuchenko,Russia,8,False
203,Stuart Pearce,England,8,False
204,Łukasz Piszczek,Poland,8,False
205,Flemming Povlsen,Denmark,8,False
206,Puyol,Spain,8,False
207,Adil Rami,France,8,False
208,Raúl Meireles,Portugal,8,False
209,Stefan Reuter,Germany,8,False
210,Fabian Schär,Switzerland,8,True
211,Georgios Seitaridis,Greece,8,False
212,Moussa Sissoko,France,8,True
213,Wesley Sneijder,Netherlands,8,False
214,Maarten Stekelenburg,Netherlands,8,False
215,Ruud van Nistelrooy,Netherlands,8,False
216,Jan Vertonghen,Belgium,8,True
217,Víctor Muñoz,Spain,8,False
218,Domagoj Vida,Croatia,8,True
219,Kim Vilfort,Denmark,8,False
220,Vítor Baía,Portugal,8,False
221,Rudi Völler,Germany,8,False
222,Christian Wilhelmsson,Sweden,8,False
223,Sylvain Wiltord,France,8,False
224,Granit Xhaka,Switzerland,8,True
225,Christian Ziege,Germany,8,False
226,Oleksandr Zinchenko,Ukraine,8,True
227,Abelardo,Spain,7,False
228,David Alaba,Austria,7,True
229,Sergey Aleynikov,CISUSSR,7,False
