1;Portugal Portugal;27
2;Belgium Belgium;21
3;Spain Spain;20
4;Denmark Denmark;18
5;France France;16
6;Switzerland Switzerland;16
7;Slovakia Slovakia;14
8;Italy Italy;13
9;Netherlands Netherlands;13
10;Serbia Serbia;13
11;Finland Finland;12
12;Iceland Iceland;12
13;Slovenia Slovenia;12
14;England England;11
15;Hungary Hungary;11
16;Turkey Turkey;11
17;Albania Albania;10
18;Czech Republic Czech Republic;10
19;Norway Norway;10
20;Romania Romania;10
21;Sweden Sweden;10
22;Austria Austria;9
23;Greece Greece;9
24;Scotland Scotland;9
25;Georgia Georgia;8
26;Kazakhstan Kazakhstan;8
27;Northern Ireland Northern Ireland;8
28;Wales Wales;8
29;Kosovo Kosovo;7
30;Macedonia Macedonia;7
31;Montenegro Montenegro;7
32;Poland Poland;7
33;Ukraine Ukraine;7
34;Croatia Croatia;6
35;Lithuania Lithuania;6
36;Armenia Armenia;5
37;Azerbaijan Azerbaijan;5
38;Belarus Belarus;5
39;Bulgaria Bulgaria;5
40;Israel Israel;5
41;Luxembourg Luxembourg;5
42;Ireland Ireland;4
43;Moldova Moldova;3
44;Andorra Andorra;2
45;Bosnia Herz. Bosnia Herz.;2
46;Cyprus Cyprus;2
47;Estonia Estonia;2
48;Faroe Islands Faroe Islands;2
49;Latvia Latvia;2
50;Malta Malta;1
51;San Marino San Marino;1
