#;Country;Fools;Fools (avg)
1;Kazakhstan;139;14
2;Luxembourg;131;15
3;Andorra;126;13
4;Moldova;120;15
5;Belarus;112;11
6;Bosnia Herz.;112;12
7;Finland;111;11
8;Kosovo;110;11
9;Romania;106;11
10;San Marino;104;10
11;Faroe Islands;103;13
12;Slovenia;103;10
13;Iceland;102;11
14;Liechtenstein;101;11
15;Montenegro;101;13
16;Slovakia;101;11
17;Netherlands;97;12
18;Poland;96;12
19;Bulgaria;95;12
20;Czech Republic;94;12
21;Northern Ireland;94;9
22;Azerbaijan;93;12
23;Lithuania;90;11
24;Scotland;90;13
25;Switzerland;89;9
26;Hungary;88;11
27;Latvia;88;13
28;Macedonia;88;11
29;Ukraine;88;13
30;Greece;85;11
31;Israel;84;8
32;Turkey;83;12
33;Norway;82;10
34;Albania;81;10
35;Ireland;80;10
36;Georgia;79;10
37;Portugal;78;9
38;Sweden;78;10
39;Estonia;77;10
40;Italy;77;10
41;Serbia;77;10
42;Spain;77;10
43;Austria;75;9
44;Denmark;74;7
45;France;74;9
46;Wales;73;9
47;Armenia;72;10
48;England;67;8
49;Belgium;66;8
50;Malta;66;9
51;Croatia;56;8
52;Cyprus;54;8
53;Gibraltar;51;6
