Index;Country;Offside;Offside(avg)
1;Kazakhstan;27;3
2;Switzerland;26;3
3;Luxembourg;25;3
4;Portugal;24;3
5;Slovakia;23;3
6;Belarus;20;2
7;Northern Ireland;19;2
8;Slovenia;19;2
9;Czech Republic;18;2
10;Montenegro;17;2
11;Spain;17;2
12;Albania;16;2
13;Austria;16;2
14;France;16;2
15;Romania;16;2
16;Finland;15;2
17;Greece;15;2
18;Bulgaria;14;2
19;Estonia;14;2
20;Gibraltar;14;2
21;Israel;14;1
22;Kosovo;14;1
23;Italy;13;2
24;Lithuania;13;2
25;Serbia;13;2
26;Bosnia Herz.;12;1
27;Croatia;12;2
28;Hungary;12;2
29;Latvia;12;2
30;Belgium;11;1
31;Iceland;10;1
32;Ireland;10;1
33;Moldova;10;1
34;Netherlands;10;1
35;Poland;10;1
36;San Marino;10;1
37;Denmark;9;1
38;Liechtenstein;8;1
39;Macedonia;8;1
40;Turkey;8;1
41;Azerbaijan;7;1
42;Cyprus;7;1
43;England;7;1
44;Georgia;7;1
45;Ukraine;7;1
46;Sweden;6;1
47;Wales;6;1
48;Andorra;5;1
49;Scotland;5;1
50;Armenia;4;1
51;Faroe Islands;4;1
52;Malta;4;1
53;Norway;4;1
