Country;Total shots;Total shots (avg);Shots on target;Shots on target (avg);Shots of target;Shots off target (average);Shots blocked;Shots blocked (average);Shots in box;Shots in box (avg);Shots outside box;Shots outside box (avg)
Portugal Portugal;173;19;73;8;57;6;43;5;123;14;50;6
France France;158;20;62;8;59;7;37;5;107;13;51;6
Switzerland Switzerland;157;16;59;6;69;7;29;3;105;11;52;5
Israel Israel;148;15;46;5;66;7;36;4;85;9;63;6
Denmark Denmark;143;14;49;5;60;6;34;3;92;9;51;5
Romania Romania;143;14;49;5;58;6;36;4;76;8;67;7
Spain Spain;143;18;54;7;53;7;36;5;107;13;36;5
Netherlands Netherlands;138;17;48;6;50;6;40;5;93;12;45;6
Austria Austria;130;16;54;7;53;7;23;3;88;11;42;5
Czech Republic Czech Republic;128;16;41;5;58;7;29;4;83;10;45;6
Slovakia Slovakia;124;14;36;4;51;6;37;4;69;8;55;6
Poland Poland;121;15;37;5;41;5;43;5;73;9;48;6
Belgium Belgium;114;14;40;5;40;5;34;4;85;11;29;4
Slovenia Slovenia;113;11;41;4;44;4;28;3;76;8;37;4
Kosovo Kosovo;111;11;48;5;41;4;22;2;65;7;46;5
Finland Finland;110;11;38;4;39;4;33;3;74;7;36;4
Croatia Croatia;109;16;42;6;37;5;30;4;70;10;39;6
Italy Italy;109;14;31;4;46;6;32;4;75;9;34;4
Ireland Ireland;108;14;35;4;39;5;34;4;76;10;32;4
Sweden Sweden;108;14;42;5;37;5;29;4;74;9;34;4
Greece Greece;107;13;36;5;39;5;32;4;63;8;44;6
Norway Norway;104;13;40;5;38;5;26;3;73;9;31;4
Northern Ireland Northern Ireland;103;10;33;3;39;4;31;3;71;7;32;3
Turkey Turkey;103;15;37;5;44;6;22;3;62;9;41;6
Hungary Hungary;101;13;36;5;40;5;25;3;57;7;44;6
Wales Wales;99;12;33;4;42;5;24;3;67;8;32;4
Iceland Iceland;98;11;40;4;39;4;19;2;70;8;28;3
Bosnia Herz. Bosnia Herz.;95;11;35;4;39;4;21;2;69;8;26;3
Belarus Belarus;93;9;28;3;43;4;22;2;56;6;37;4
Serbia Serbia;93;12;29;4;46;6;18;2;72;9;21;3
England England;92;12;39;5;28;4;25;3;69;9;23;3
Armenia Armenia;90;13;21;3;35;5;34;5;44;6;46;7
Kazakhstan Kazakhstan;85;9;39;4;38;4;8;1;43;4;42;4
Montenegro Montenegro;85;11;38;5;31;4;16;2;52;7;33;4
Luxembourg Luxembourg;80;9;29;3;36;4;15;2;42;5;38;4
Bulgaria Bulgaria;78;10;30;4;31;4;17;2;54;7;24;3
Georgia Georgia;78;10;21;3;34;4;23;3;42;5;36;5
Moldova Moldova;72;9;23;3;27;3;22;3;40;5;32;4
Macedonia Macedonia;71;9;26;3;23;3;22;3;38;5;33;4
Albania Albania;70;9;29;4;32;4;9;1;30;4;40;5
Scotland Scotland;66;9;21;3;27;4;18;3;48;7;18;3
Latvia Latvia;56;8;24;3;21;3;11;2;41;6;15;2
Estonia Estonia;53;7;14;2;30;4;9;1;31;4;22;3
Lithuania Lithuania;52;7;17;2;24;3;11;1;24;3;28;4
Azerbaijan Azerbaijan;49;6;18;2;22;3;9;1;28;4;21;3
Ukraine Ukraine;44;6;18;3;20;3;6;1;20;3;24;3
Andorra Andorra;43;4;16;2;18;2;9;1;25;3;18;2
Cyprus Cyprus;41;6;18;3;17;2;6;1;15;2;26;4
Faroe Islands Faroe Islands;40;5;6;1;21;3;13;2;24;3;16;2
Liechtenstein Liechtenstein;36;4;11;1;18;2;7;1;16;2;20;2
Malta Malta;29;4;6;1;11;2;12;2;16;2;13;2
San Marino San Marino;28;3;6;1;13;1;9;1;13;1;15;2
Gibraltar Gibraltar;9;1;2;0;6;1;1;0;4;1;5;1
