#;Country;Yellow cards
1;Kosovo Kosovo;30
2;Andorra Andorra;29
3;Belarus Belarus;28
4;Kazakhstan Kazakhstan;28
5;Montenegro Montenegro;28
6;Luxembourg Luxembourg;27
7;Latvia Latvia;26
8;Moldova Moldova;24
9;Israel Israel;23
10;Northern Ireland Northern Ireland;23
11;Romania Romania;23
12;Azerbaijan Azerbaijan;22
13;Greece Greece;22
14;San Marino San Marino;22
15;Turkey Turkey;22
16;Macedonia Macedonia;20
17;Switzerland Switzerland;20
18;Georgia Georgia;19
19;Hungary Hungary;19
20;Scotland Scotland;19
21;Bosnia Herz. Bosnia Herz.;18
22;Faroe Islands Faroe Islands;18
23;Iceland Iceland;18
24;Albania Albania;17
25;Bulgaria Bulgaria;17
26;Lithuania Lithuania;17
27;Spain Spain;16
28;Austria Austria;15
29;Cyprus Cyprus;15
30;Denmark Denmark;15
31;England England;15
32;Poland Poland;15
33;Armenia Armenia;14
34;Czech Republic Czech Republic;14
35;Estonia Estonia;14
36;Ireland Ireland;14
37;Liechtenstein Liechtenstein;14
38;Malta Malta;14
39;Belgium Belgium;13
40;Italy Italy;13
41;Slovakia Slovakia;13
42;Ukraine Ukraine;13
43;Netherlands Netherlands;12
44;Finland Finland;11
45;Norway Norway;11
46;Serbia Serbia;11
47;Wales Wales;11
48;Croatia Croatia;10
49;France France;10
50;Portugal Portugal;10
51;Slovenia Slovenia;10
52;Sweden Sweden;10
53;Gibraltar Gibraltar;8
