Semi-finals;06/07/1960;19:00;Yugoslavia;-;France;5:4 (1:2)
Semi-finals;06/07/1960;20:30;USSR;-;CSSR;3:0 (1:0)
3rd place;09/07/1960;20:30;CSSR;-;France;2:0 (0:0)
Final;10/07/1960;20:30;USSR;-;Yugoslavia;2:1 (0:1, 1:1) aet
Semi-finals;17/06/1964;19:00;Spain;-;Hungary;2:1 (1:0, 1:1) aet
Semi-finals;17/06/1964;21:30;USSR;-;Denmark;3:0 (2:0)
3rd place;20/06/1964;19:00;Hungary;-;Denmark;3:1 (1:0, 1:1) aet
Final;21/06/1964;17:30;Spain;-;USSR;2:1 (1:1)
Semi-finals;05/06/1968;17:00;Italy;-;USSR;0:0 (0:0, 0:0) aet
Semi-finals;05/06/1968;20:15;Yugoslavia;-;England;1:0 (0:0)
3rd place;08/06/1968;14:00;England;-;USSR;2:0 (1:0)
Final;08/06/1968;20:15;Italy;-;Yugoslavia;1:1 (0:1, 1:1) aet
Final;10/06/1968;20:15;Italy;-;Yugoslavia;2:0 (2:0)
Semi-finals;14/06/1972;19:00;Germany;-;Belgium;2:1 (1:0)
Semi-finals;14/06/1972;19:00;USSR;-;Hungary;1:0 (0:0)
3rd place;17/06/1972;19:00;Belgium;-;Hungary;2:1 (2:0)
Final;18/06/1972;19:00;Germany;-;USSR;3:0 (1:0)
Semi-finals;16/06/1976;19:15;CSSR;-;Netherlands;3:1 (1:0, 1:1) aet
Semi-finals;17/06/1976;19:15;Germany;-;Yugoslavia;4:2 (0:2, 2:2) aet
3rd place;19/06/1976;19:15;Yugoslavia;-;Netherlands;2:3 (1:2, 2:2) aet
Final;20/06/1976;19:15;CSSR;-;Germany;5:3 (2:1, 2:2, 2:2) pso
Group 1;11/06/1980;16:45;Germany;-;CSSR;1:0 (0:0)
Group 1;11/06/1980;119:30;Netherlands;-;Greece;1:0 (0:0)
Group 1;14/06/1980;16:45;Germany;-;Netherlands;3:2 (1:0)
Group 1;14/06/1980;19:30;CSSR;-;Greece;3:1 (2:1)
Group 1;17/06/1980;16:45;CSSR;-;Netherlands;1:1 (1:0)
Group 1;17/06/1980;19:30;Germany;-;Greece;0:0 (0:0)
Group 2;12/06/1980;16:45;Belgium;-;England;1:1 (1:1)
Group 2;12/06/1980;19:30;Italy;-;Spain;0:0 (0:0)
Group 2;15/06/1980;16:45;Belgium;-;Spain;2:1 (1:1)
Group 2;15/06/1980;19:30;Italy;-;England;1:0 (0:0)
Group 2;18/06/1980;16:45;England;-;Spain;2:1 (1:0)
Group 2;18/06/1980;19:30;Belgium;-;Italy;0:0 (0:0)
3rd place;21/06/1980;19:30;CSSR;-;Italy;9:8 (0:0, 1:1) pso
Final;22/06/1980;19:30;Germany;-;Belgium;2:1 (1:0)
Group 1;12/06/1984;19:30;France;-;Denmark;1:0 (0:0)
Group 1;13/06/1984;19:30;Belgium;-;Yugoslavia;2:0 (1:0)
Group 1;16/06/1984;16:15;France;-;Belgium;5:0 (3:0)
Group 1;16/06/1984;19:30;Denmark;-;Yugoslavia;5:0 (2:0)
Group 1;19/06/1984;19:30;France;-;Yugoslavia;3:2 (0:1)
Group 1;19/06/1984;19:30;Denmark;-;Belgium;3:2 (1:2)
Group 2;14/06/1984;16:15;Portugal;-;Germany;0:0 (0:0)
Group 2;14/06/1984;19:30;Romania;-;Spain;1:1 (1:1)
Group 2;17/06/1984;16:15;Germany;-;Romania;2:1 (1:0)
Group 2;17/06/1984;19:30;Portugal;-;Spain;1:1 (0:0)
Group 2;20/06/1984;19:30;Portugal;-;Romania;1:0 (0:0)
Group 2;20/06/1984;19:30;Spain;-;Germany;1:0 (0:0)
Semi-finals;23/06/1984;19:00;France;-;Portugal;3:2 (1:0, 1:1) aet
Semi-finals;24/06/1984;19:00;Spain;-;Denmark;6:5 (0:1, 1:1, 1:1) pso
Final;27/06/1984;19:00;France;-;Spain;2:0 (0:0)
Group 1;10/06/1988;19:15;Italy;-;Germany;1:1 (0:0)
Group 1;11/06/1988;14:30;Spain;-;Denmark;3:2 (1:1)
Group 1;14/06/1988;16:15;Germany;-;Denmark;2:0 (1:0)
Group 1;14/06/1988;19:15;Italy;-;Spain;1:0 (0:0)
Group 1;17/06/1988;19:15;Germany;-;Spain;2:0 (1:0)
Group 1;17/06/1988;19:15;Italy;-;Denmark;2:0 (0:0)
Group 2;12/06/1988;14:30;Ireland;-;England;1:0 (1:0)
Group 2;12/06/1988;19:15;USSR;-;Netherlands;1:0 (0:0)
Group 2;15/06/1988;16:15;Netherlands;-;England;3:1 (1:0)
Group 2;15/06/1988;19:15;Ireland;-;USSR;1:1 (1:0)
Group 2;18/06/1988;14:30;USSR;-;England;3:1 (2:1)
Group 2;18/06/1988;14:30;Netherlands;-;Ireland;1:0 (0:0)
Semi-finals;21/06/1988;19:15;Netherlands;-;Germany;2:1 (0:0)
Semi-finals;22/06/1988;19:15;USSR;-;Italy;2:0 (0:0)
Final;25/06/1988;14:30;Netherlands;-;USSR;2:0 (1:0
Group 1;10/06/1992;19:15;Sweden;-;France;1:1 (1:0)
Group 1;11/06/1992;19:15;Denmark;-;England;0:0 (0:0)
Group 1;14/06/1992;16:15;England;-;France;0:0 (0:0)
Group 1;14/06/1992;19:15;Sweden;-;Denmark;1:0 (0:0)
Group 1;17/06/1992;19:15;Sweden;-;England;2:1 (0:1)
Group 1;17/06/1992;19:15;Denmark;-;France;2:1 (1:0)
Group 2;12/06/1992;16:15;Netherlands;-;Scotland;1:0 (0:0)
Group 2;12/06/1992;19:15;CIS;-;Germany;1:1 (0:0)
Group 2;15/06/1992;16:15;Germany;-;Scotland;2:0 (1:0)
Group 2;15/06/1992;19:15;CIS;-;Netherlands;0:0 (0:0)
Group 2;18/06/1992;19:15;Netherlands;-;Germany;3:1 (2:0)
Group 2;18/06/1992;19:15;Scotland;-;CIS;3:0 (2:0)
Semi-finals;21/06/1992;19:15;Germany;-;Sweden;3:2 (1:0)
Semi-finals;22/06/1992;19:15;Denmark;-;Netherlands;5:4 (2:1, 2:2, 2:2) pso
Final;26/06/1992;19:15;Denmark;-;Germany;2:0 (1:0)
Group 1;08/06/1996;15:00;England;-;Switzerland;1:1 (1:0)
Group 1;10/06/1996;16:30;Netherlands;-;Scotland;0:0 (0:0)
Group 1;13/06/1996;19:30;Netherlands;-;Switzerland;2:0 (0:0)
Group 1;15/06/1996;15:00;England;-;Scotland;2:0 (0:0)
Group 1;18/06/1996;19:30;Scotland;-;Switzerland;1:0 (1:0)
Group 1;18/06/1996;19:30;England;-;Netherlands;4:1 (1:0)
Group 2;09/06/1996;14:30;Bulgaria;-;Spain;1:1 (0:0)
Group 2;10/06/1996;19:30;France;-;Romania;1:0 (1:0)
Group 2;13/06/1996;16:30;Bulgaria;-;Romania;1:0 (1:0)
Group 2;15/06/1996;19:30;France;-;Spain;1:1 (0:0)
Group 2;18/06/1996;16:30;France;-;Bulgaria;3:1 (1:0)
Group 2;18/06/1996;16:30;Spain;-;Romania;2:1 (1:1)
Group 3;09/06/1996;17:00;Germany;-;Czech Republic;2:0 (2:0)
Group 3;11/06/1996;16:30;Italy;-;Russia;2:1 (1:1)
Group 3;14/06/1996;19:30;Czech Republic;-;Italy;2:1 (2:1)
Group 3;16/06/1996;16:30;Germany;-;Russia;3:0 (0:0)
Group 3;19/06/1996;19:30;Germany;-;Italy;0:0 (0:0)
Group 3;19/06/1996;19:30;Czech Republic;-;Russia;3:3 (2:0)
Group 4;09/06/1996;19:30;Denmark;-;Portugal;1:1 (1:0)
Group 4;11/06/1996;19:30;Croatia;-;Turkey;1:0 (0:0)
Group 4;14/06/1996;16:30;Portugal;-;Turkey;1:0 (0:0)
Group 4;16/06/1996;18:00;Croatia;-;Denmark;3:0 (0:0)
Group 4;19/06/1996;16:30;Portugal;-;Croatia;3:0 (2:0)
Group 4;19/06/1996;16:30;Denmark;-;Turkey;3:0 (0:0)
Quarter-finals;22/06/1996;15:00;England;-;Spain;4:2 (0:0, 0:0, 0:0) pso
Quarter-finals;22/06/1996;18:30;France;-;Netherlands;5:4 (0:0, 0:0, 0:0) pso
Quarter-finals;23/06/1996;15:00;Germany;-;Croatia;2:1 (1:0)
Quarter-finals;23/06/1996;18:30;Czech Republic;-;Portugal;1:0 (0:0)
Semi-finals;26/06/1996;16:00;Czech Republic;-;France;6:5 (0:0, 0:0, 0:0) pso
Semi-finals;26/06/1996;19:30;Germany;-;England;6:5 (1:1, 1:1, 1:1) pso
Final;30/06/1996;19:00;Germany;-;Czech Republic;2:1 (0:0, 1:1) aet
Group 1;12/06/2000;17:00;Germany;-;Romania;1:1 (1:1)
Group 1;12/06/2000;19:45;Portugal;-;England;3:2 (2:2)
Group 1;17/06/2000;17:00;Romania;-;Portugal;0:1 (0:0)
Group 1;17/06/2000;19:45;England;-;Germany;1:0 (0:0)
Group 1;20/06/2000;19:45;England;-;Romania;2:3 (2:1)
