,Euro,Stage,Date,Hour,Home,Away,H,A,HT_H,HT_A,Extra Time,FT_H,FT_A,Penatly,PEN_H,PEN_A
1,1960,Semi-finals,06/07/1960,19:00,Yugoslavia,France,5,4,1,2,False,,,False,,
2,1960,Semi-finals,06/07/1960,20:30,USSR,CSSR,3,0,1,0,False,,,False,,
3,1960,3rd place,09/07/1960,20:30,CSSR,France,2,0,0,0,False,,,False,,
4,1960,Final,10/07/1960,20:30,USSR,Yugoslavia,2,1,0,1,True,1,1,False,,
5,1964,Semi-finals,17/06/1964,19:00,Spain,Hungary,2,1,1,0,True,1,1,False,,
6,1964,Semi-finals,17/06/1964,21:30,USSR,Denmark,3,0,2,0,False,,,False,,
7,1964,3rd place,20/06/1964,19:00,Hungary,Denmark,3,1,1,0,True,1,1,False,,
8,1964,Final,21/06/1964,17:30,Spain,USSR,2,1,1,1,False,,,False,,
9,1968,Semi-finals,05/06/1968,17:00,Italy,USSR,0,0,0,0,True,0,0,False,,
10,1968,Semi-finals,05/06/1968,20:15,Yugoslavia,England,1,0,0,0,False,,,False,,
11,1968,3rd place,08/06/1968,14:00,England,USSR,2,0,1,0,False,,,False,,
12,1968,Final,08/06/1968,20:15,Italy,Yugoslavia,1,1,0,1,True,1,1,False,,
13,1968,Final,10/06/1968,20:15,Italy,Yugoslavia,2,0,2,0,False,,,False,,
14,1972,Semi-finals,14/06/1972,19:00,Germany,Belgium,2,1,1,0,False,,,False,,
15,1972,Semi-finals,14/06/1972,19:00,USSR,Hungary,1,0,0,0,False,,,False,,
16,1972,3rd place,17/06/1972,19:00,Belgium,Hungary,2,1,2,0,False,,,False,,
17,1972,Final,18/06/1972,19:00,Germany,USSR,3,0,1,0,False,,,False,,
18,1976,Semi-finals,16/06/1976,19:15,CSSR,Netherlands,3,1,1,0,True,1,1,False,,
19,1976,Semi-finals,17/06/1976,19:15,Germany,Yugoslavia,4,2,0,2,True,2,2,False,,
20,1976,3rd place,19/06/1976,19:15,Yugoslavia,Netherlands,2,3,1,2,True,2,2,False,,
21,1976,Final,20/06/1976,19:15,CSSR,Germany,2,2,2,1,False,2,2,True,5,3
22,1980,Group,11/06/1980,16:45,Germany,CSSR,1,0,0,0,False,,,False,,
23,1980,Group,11/06/1980,119:30,Netherlands,Greece,1,0,0,0,False,,,False,,
24,1980,Group,14/06/1980,16:45,Germany,Netherlands,3,2,1,0,False,,,False,,
25,1980,Group,14/06/1980,19:30,CSSR,Greece,3,1,2,1,False,,,False,,
26,1980,Group,17/06/1980,16:45,CSSR,Netherlands,1,1,1,0,False,,,False,,
27,1980,Group,17/06/1980,19:30,Germany,Greece,0,0,0,0,False,,,False,,
28,1980,Group,12/06/1980,16:45,Belgium,England,1,1,1,1,False,,,False,,
29,1980,Group,12/06/1980,19:30,Italy,Spain,0,0,0,0,False,,,False,,
30,1980,Group,15/06/1980,16:45,Belgium,Spain,2,1,1,1,False,,,False,,
31,1980,Group,15/06/1980,19:30,Italy,England,1,0,0,0,False,,,False,,
32,1980,Group,18/06/1980,16:45,England,Spain,2,1,1,0,False,,,False,,
33,1980,Group,18/06/1980,19:30,Belgium,Italy,0,0,0,0,False,,,False,,
34,1980,3rd place,21/06/1980,19:30,CSSR,Italy,1,1,0,0,False,1,1,True,9,8
35,1980,Final,22/06/1980,19:30,Germany,Belgium,2,1,1,0,False,,,False,,
36,1984,Group,12/06/1984,19:30,France,Denmark,1,0,0,0,False,,,False,,
37,1984,Group,13/06/1984,19:30,Belgium,Yugoslavia,2,0,1,0,False,,,False,,
